image number,alt,article_heading,article_url
image_1_1.jpg,"Shatha Abusalim Smiling mother Shatha stands over her seated daughter, Lamis, who is also smiling, at a school celebration in 2023. The picture is an exterior shot and the pair are infront of a banner with the school's name. There is a cluster of colourful balloons and green foliage. ",Devastating setback for evacuated Gaza teen after surgery,https://www.bbc.com/news/articles/czxlrlkk8k8o
image_2_1.jpg,Getty Images Comet in the night sky,How to spot 'comet of the century' in UK skies,https://www.bbc.com/news/articles/c5y87l79d02o
image_2_2.jpg,Reuters Comet going across the sky,How to spot 'comet of the century' in UK skies,https://www.bbc.com/news/articles/c5y87l79d02o
image_3_1.jpg,Getty Images Malala Yousafzai receives flowers after winning the Nobel Prize for peace (Credit: Getty Images),'You mean I have to stop my experiment?' Not all Nobel laureates react the way you might expect,https://www.bbc.com/future/article/20241011-nobel-prize-the-man-who-records-the-moments-after-a-life-changing-call
image_3_2.jpg,Nobel Prize Outreach Adam Smith has spoken with almost every Nobel Prize winner since 2006 (Credit: Nobel Prize Outreach),'You mean I have to stop my experiment?' Not all Nobel laureates react the way you might expect,https://www.bbc.com/future/article/20241011-nobel-prize-the-man-who-records-the-moments-after-a-life-changing-call
image_4_1.jpg,"West Northamptonshire Council Photo of nine men and three women in a line, all wearing lanyards. They are in a stately home with a stone fireplace and wooden floor.",Climate change summit follows protests,https://www.bbc.com/news/articles/c62567yl555o
image_5_1.jpg,Getty Images Hand wipes countertop with a white cloth (Credit: Getty Images),Is cleaning with baking soda better for the environment?,https://www.bbc.com/future/article/20241010-does-cleaning-baking-soda-really-work
image_6_1.jpg,A boot lying among the wreckage. It is labelled 'Explorer's boot',Explorer Shackleton’s lost ship as never seen before,https://www.bbc.com/news/articles/cd6qz387qjgo
image_7_1.jpg,Nasa Hurricane Milton as seen from space (Credit: Nasa),The destructive power of Hurricane Milton in 3 images,https://www.bbc.com/future/article/20241009-the-destructive-power-of-hurricane-milton-in-3-images
image_8_1.jpg,Getty Images Satellite view of Hurricane Dorian (Credit: Getty Images),'I wouldn't wish it on my worst enemy': The people who work inside the eye of a hurricane,https://www.bbc.com/future/article/20240911-the-scientists-and-chasers-seeking-insights-inside-the-eye-of-the-most-powerful-storms
image_9_1.jpg,Getty Images The River Teme flowing under a bridge with Ludlow castle in the background,Pollution in River Teme under investigation ,https://www.bbc.com/news/articles/c20jqwj7rxeo
image_10_1.jpg,Alamy Mount Everest is steadily growing taller at around 4mm per year while the forces of erosion wear away it (Credit: Alamy),How tall will Mount Everest get before it stops growing?,https://www.bbc.com/future/article/20220407-how-tall-will-mount-everest-get-before-it-stops-growing
