image number,alt,article_heading
image_1_1.jpg,,30-year mortgage rate hits 2-year low
image_2_1.jpg,CALGARY CANADA - SEPTEMBER 18: Saudi Energy Minister Prince Abdulaziz bin Salman speaks on the second day of the 24th World Petroleum Congress at the Big 4 Building at Stampede Park on September 18 2023 in Calgary Canada. The Congress organized by the UK-based charity WPC with UN NGO accreditation focuses on oil gas and energy sustainability and is renowned as the world's premier forum in this field. (Photo by Artur Widak/Anadolu Agency via Getty Images),Oil falls more than 2% on report Saudi Arabia vows to bring barrels back even if prices fall
image_3_1.jpg,Mark Zuckerberg smiles while speaking at the Meta Connect conference Wednesday Sept. 25 2024 in Menlo Park Calif. (AP Photo/Godofredo A. Vásquez),Meta stock hits all-time high as Wall Street bets on AI vision
image_3_2.jpg,StockStory aims to help individual investors beat the market.,Meta stock hits all-time high as Wall Street bets on AI vision
image_4_1.jpg,WASHINGTON SEPTEMBER 25:   House Speaker Mike Johnson (R-LA) speaks to journalists while walking to his office after the House passed a stop-gap finding bill on Capitol Hill in Washington on September 25 2024. (Photo by Tom Brenner for The Washington Post via Getty Images),A government shutdown is averted for now — but two new spending fights loom
image_5_1.jpg,,Stock market today: S&P 500 Nasdaq gain as US GDP data chip stocks lift mood
image_6_1.jpg,Target puts socks underwear behind locked cases to prevent theft. (Courtesy: Yahoo Finance),Target CEO hopes the company will eventually remove locked cases as it combats retail theft
image_6_2.jpg,Target CEO Brian Cornell on locked cases.,Target CEO hopes the company will eventually remove locked cases as it combats retail theft
image_7_1.jpg,Dec 28 2023; San Antonio TX USA; A general overall view of a United States flag on the field during the playing of the national anthem at the Alamo Bowl between the Arizona Wildcats and the Oklahoma Sooners at Alamodome. Mandatory Credit: Kirby Lee-USA TODAY Sports,GDP: US economy grows at 3% annualized pace in second quarter
image_8_1.jpg,FILE - A sign marks the entrance of the Micron Technology automotive chip manufacturing plant on Feb. 11 2022 in Manassas Va. On Tuesday Oct. 4 chipmaker Micron announced an investment of up to $100 billion over the next 20-plus years to build a plant in upstate New York that could create 9000 factory jobs. (AP Photo/Steve Helber File),Micron stock soars as Q1 revenue forecast tops analyst estimates
image_8_2.jpg,StockStory aims to help individual investors beat the market.,Micron stock soars as Q1 revenue forecast tops analyst estimates
image_9_1.jpg,,All eyes are on Meta's smart glasses but questions persist over its secretive AR project
image_10_1.jpg,,Whole Foods CEO says he is slashing prices on private-label food to battle supermarkets
