image number,alt,article_heading
image_1_1.jpg,no alt,'I've had no sugar or ultra-processed food for nine months - now I've got a big problem'
image_2_1.jpg,no alt,The things people say when I tell them I don’t drink (and how to respond)
image_3_1.jpg,no alt,Country pub of the week: Jeremy Clarkson's the Farmer's Dog Cotswolds
image_4_1.jpg,no alt,Our favourite foodie Christmas gifts under £30
image_5_1.jpg,no alt,Why are so many companies withdrawing vegan products?
image_6_1.jpg,no alt,8 best anti-inflammatory foods to add to your diet
image_7_1.jpg,no alt,I stopped drinking for six months – five reasons why it’s one of the best things I’ve ever done
image_8_1.jpg,no alt,The unsung Spanish city where a glass of wine costs £1
image_9_1.jpg,no alt,I’m 54 with a 35-year-old body. It all started because I gave up drinking
image_10_1.jpg,no alt,20 low-calorie high-protein foods
