image number,alt,article_heading
image_1_1.jpg,Fortunately the passengers and the captain of the hot air balloon were uninjured.,Hot air balloon flies into pipe and catches fire
image_2_1.jpg,It is estimated that there are around 1300 brown bears in Slovakia.,Mushroom picker dies after bear attack in Slovakia
image_3_1.jpg,"With a wink the couple invites you to the anniversary exhibition with this photo from over 15 years ago also because ""the gallery is closely interwoven with our person"".","""In art you have to fill all the registers"""
image_3_2.jpg,The branch in Venice is a counterpoint to the otherwise hectic gallery business.,"""In art you have to fill all the registers"""
image_3_3.jpg,Nevin Aladağ’s carpet collages are beautifully colorful and are about different cultural identities.,"""In art you have to fill all the registers"""
image_3_4.jpg,"Ready for the ""Great Crossing"" through the lagoon? The sails are woven from black magnetic strips.","""In art you have to fill all the registers"""
image_3_5.jpg,Honest debate in all directions for 20 years: Jan and Tina Wentrup.,"""In art you have to fill all the registers"""
image_3_6.jpg,"In a former post office good interior design now meets fascinating art such as the installation ""Monumental"" by Sophie von Hellermann.","""In art you have to fill all the registers"""
image_4_1.jpg,Gisèle Pelicot in the criminal court on the last day of the trial. The recordings of her martyrdom were played at her express request.,Rape videos shown in the Avignon trial
image_5_1.jpg,"All passengers travelling on flights to from or via Dubai are ""prohibited from carrying pagers and walkie-talkies in their baggage or in the cabin"".",Emirates bans pagers and walkie-talkies on flights
image_6_1.jpg,A 60-year-old woman was killed in Toronto Canada.,Canadian police claim to have caught serial killer
image_7_1.jpg,Despite the snowfall the injured man wanted to continue hiking towards the eastern summit of the Hohe Munde in Tyrol.,Mountaineer missing in Tyrol - lifeless person found
image_8_1.jpg,Overall life expectancy is increasing but people’s strength is still declining.,When 75 is the new 60
image_9_1.jpg,Majestic isn't it? If you want to see something like this for a long time then do something about it. Just an idea...,With the Pope Michael and Paul into the weekend
image_10_1.jpg,Rapid HIV tests show whether someone is carrying the virus. (Archive image),HIV diagnosed in more than 3300 people in Germany
