image number,alt,article_heading
image_1_1.jpg,Baerbock also reaffirms Israel’s right to self-defense.,Baerbock: Your safety is our reason of state
image_2_1.jpg,Israeli attacks recently hit the center of the Gaza Strip.,Israel bombs Hamas headquarters in mosque
image_3_1.jpg,Danish military police secure the Israeli embassy in Copenhagen after explosions occurred nearby.,Denmark controls borders with Germany again
image_4_1.jpg,200 officers were involved in the raid.,Police break up right-wing extremist martial arts event
image_5_1.jpg,A small amount of pocket money should be added to soap bread and bed.,"FDP wants ""bed-soap-bread"" minimum for rejected asylum seekers"
image_6_1.jpg,According to the draft of the Ministry of Justice unmarried couples will also be allowed to adopt children in the future.,Buschmann pushes for speed in family law reform
image_7_1.jpg,A picture from earlier times: Trump and Bolton together in the White House.,Bolton: Trump is serious about leaving NATO
image_8_1.jpg,aaefc7bb0ed4ab07a741a0cbc1e91562.jpg,Trump swears supporters victory with God's help
image_8_2.jpg,Donald Trump was much better protected during his appearance in Butler this time.,Trump swears supporters victory with God's help
image_9_1.jpg,Alice Weidel crowned herself the top candidate of the Baden-Württemberg regional association with a good result in Ulm.,Discord overshadows Alice Weidel's victory in the South
image_10_1.jpg,Chancellor Scholz must not make fear the motive for his political actions says CDU foreign policy expert Röttgen.,Röttgen accuses Scholz of frightening the population
