image number,alt,article_heading
image_1_1.jpg,Panoramic view of an apartment complex in Sanggye-dong Nowon-gu Seoul [Maeil Business Newspaper DB],“I hit Gangnam and Nodogang collapsed”… I went to a real estate agency where inquiries about buying properties suddenly stopped
image_1_2.jpg,,“I hit Gangnam and Nodogang collapsed”… I went to a real estate agency where inquiries about buying properties suddenly stopped
image_2_1.jpg,ATM machines at major banks in downtown Seoul. [Yonhap],Banks that do not let go of their ‘money cushion’ of interest income… Even if the loan growth rate ‘slows down’ they will raise interest rates further [MoneyMoney]
image_2_2.jpg,Loan-related information posted at a bank in Seoul. [Yonhap News],Banks that do not let go of their ‘money cushion’ of interest income… Even if the loan growth rate ‘slows down’ they will raise interest rates further [MoneyMoney]
image_2_3.jpg,An ATM inside the National Assembly Members’ Hall in Yeouido Seoul. [Yonhap News],Banks that do not let go of their ‘money cushion’ of interest income… Even if the loan growth rate ‘slows down’ they will raise interest rates further [MoneyMoney]
image_2_4.jpg,Loan-related information posted at a bank in Seoul. [Yonhap News],Banks that do not let go of their ‘money cushion’ of interest income… Even if the loan growth rate ‘slows down’ they will raise interest rates further [MoneyMoney]
image_2_5.jpg,Financial Services Commission Chairman Kim Byung-hwan (right) speaks at the Financial Services Commission Chairman-Financial Holding Company Chairman meeting held at the Bankers Association Building in Jung-gu Seoul on the morning of the 30th. Reporter Im Se-jun,Banks that do not let go of their ‘money cushion’ of interest income… Even if the loan growth rate ‘slows down’ they will raise interest rates further [MoneyMoney]
image_2_6.jpg,,Banks that do not let go of their ‘money cushion’ of interest income… Even if the loan growth rate ‘slows down’ they will raise interest rates further [MoneyMoney]
image_3_1.jpg,Inside and outside the Ministry of Strategy and Finance there are voices saying that if the GDP in the third quarter increases by only 0.1 to 0.2% compared to the previous quarter it would be a good result. Containers being unloaded at Busan Port. Photo = Yonhap News,"Korea 'Emergency' Situation"... Will 'Zero Growth' Become a Reality?
image_4_1.jpg,Inside the direct air capture (DAC) plant operated by Swiss cleantech company Climeworks in Hellisheidy Iceland. / Reporter Kim Ri-an,Only extracting carbon from the air… Big Tech’s ‘Net Zero’ technology
image_4_2.jpg,,Only extracting carbon from the air… Big Tech’s ‘Net Zero’ technology
image_5_1.jpg,Samsung Electronics Pyeongtaek Campus. Courtesy of Samsung Electronics,[Exclusive] Samsung Electronics Semiconductor also 'voluntary retirement'... No more 'youngest people in their 40s'. Full-scale personnel reshuffle begins
image_5_2.jpg,,[Exclusive] Samsung Electronics Semiconductor also 'voluntary retirement'... No more 'youngest people in their 40s'. Full-scale personnel reshuffle begins
image_6_1.jpg,Panoramic view of Busan apartment complex. The photo is not directly related to the article. [Yonhap News],We also have a new apartment why is this happening?… The local area is not rising [Real Estate 360]
image_6_2.jpg,,We also have a new apartment why is this happening?… The local area is not rising [Real Estate 360]
image_7_1.jpg,Kim Kyung-soo CEO of Nextchip,"Autonomous driving semiconductor supply to begin in earnest next year... Turnaround to profit in 2026" [CEO Battle]
image_8_1.jpg,,Overcoming the youth fatigue crisis… Samsung Semiconductor ‘voluntary retirement’ [Samsung pulls out the crisis overcoming card]
image_9_1.jpg,Choi Yoon-beom chairman of Korea Zinc is holding a press conference at the Grand Hyatt in Yongsan-gu Seoul on the afternoon of the 2nd to state his position. / Reporter Seo Ye-won,Smart Karma: “Choi Yoon-beom’s Additional Public Offering is Risky…Not for Shareholders’ Benefits”
image_10_1.jpg,,"Semiconductor Theory Won't Work"... Samsung Takes 'Special Measures' for Personnel Reshuffle and Business Restructuring [Samsung Pulls Out Crisis Overcoming Card]
