image number,alt,article_heading
image_1_1.jpg,A car driven by former President Moon Jae-in's daughter Da-hye enters an intersection with its left turn signal on in the right turn lane. / Source: Yonhap News TV,Turning left as a right-turn lane… Moon Da-hye CCTV shows ‘very dangerous’ [Video]
image_1_2.jpg,Former President Moon Jae-in takes a commemorative photo with his daughter Moon Da-hye during a campaign rally when he was a candidate for the 19th presidential election. / Photo = News 1,Turning left as a right-turn lane… Moon Da-hye CCTV shows ‘very dangerous’ [Video]
image_1_3.jpg,Former President Moon Jae-in and his daughter Da-hye. /Photo=Moon Da-hye X,Turning left as a right-turn lane… Moon Da-hye CCTV shows ‘very dangerous’ [Video]
image_2_1.jpg,[Seoul = Newsis] Former President Moon Jae-in and daughter Da-hye (Photo = Capture of Da-hye Moon's SNS) 2024.10.06. photo@newsis.com *Resale and DB prohibited,CCTV before Moon Da-hye's accident… Left turn as a right turn lane
image_3_1.jpg,,Fireworks Festival Day... 4 People Rescued from 'Unlicensed Raft' Floating on Han River
image_4_1.jpg,Park Dae-seong who murdered a teenage girl he had never met in the city center of Suncheon Jeollanam-do is silently answering reporters' questions in front of the main entrance of the Suncheon Police Station on the morning of the 4th. / Photo = News 1,“4 bottles of soju drunk” Park Dae-seong’s false statement?… The remaining bottles of alcohol on the table
image_5_1.jpg,Former President Moon Jae-in and Moon Da-hye ⓒ X Capture,Moon Da-hye a suspect in 'drunk driving' that compared Moon to murder... Opposition party 'embarrassed' amid ruling party's 'offensive'
image_5_2.jpg,Former President Moon Jae-in poses for a commemorative photo after receiving carnations from his daughter Moon Da-hye and grandson during the final campaign speech for the 19th presidential election held at Gwanghwamun Square in Seoul on May 8 2017. ⓒSisa Journal Lee Jong-hyun,Moon Da-hye a suspect in 'drunk driving' that compared Moon to murder... Opposition party 'embarrassed' amid ruling party's 'offensive'
image_6_1.jpg,Former President Moon Jae-in poses for a commemorative photo with his daughter Moon Da-hye during a campaign rally during the 19th presidential election. ⓒYonhap News,Moon Jae-in in 2018 said it was murder... 'Moon Da-hye' drunk driving before appearing at the prosecution [News People]
image_6_2.jpg,Former President Moon Jae-in then the Democratic Party's presidential candidate poses for a commemorative photo with his daughter Da-hye at Gwanghwamun Square in Seoul on May 8 2017. ⓒYonhap News,Moon Jae-in in 2018 said it was murder... 'Moon Da-hye' drunk driving before appearing at the prosecution [News People]
image_7_1.jpg,,2025 Classes Also Seeking an Exit from the Crisis of Disruption… Medical Students Still Cold
image_8_1.jpg,Deputy Prime Minister and Minister of Education Lee Joo-ho announces emergency measures (draft) for normalizing medical school bachelor's degrees at the Seoul Government Complex in Jongno-gu Seoul on the 6th. Yonhap News,Government makes concession: "Medical students approved to take leave of absence with condition of returning next year"
image_9_1.jpg,,Korea Zinc ‘War of Money’… Law Firms Also Intensify Strategic Battle
image_10_1.jpg,,[Exclusive] Parked at a meat restaurant 8 hours before the accident… Moon Da-hye to appear at the police station as early as tomorrow
