image number,alt,article_heading
image_1_1.jpg,Vadel Badjideh akui putusi Lolly,Absent Examination Vadel Badjideh will be written again on 4th October
image_2_1.jpg,Polres Metro Jakarta Center will launch an investigation into the management of anime companies that allegedly abuse and exploit their employees.,Korban Enterprises' policy of 'painting' shows evidence of animation what is it?
image_3_1.jpg,One student of SMK Dibakok another student till he fell on the motorcycle of Jakbar. Two other students involved in the ban were arrested by the police. (M Fardan/detikcom),Sick Hearts Didekati Women of Bogor Bakok Bankai
image_4_1.jpg,Sony Latuheru,Sosok Audie Latuheru Polisi Penerjun and Pilot yang Kini Jadi Brigjen
image_4_2.jpg,Sony Latuheru,Sosok Audie Latuheru Polisi Penerjun and Pilot yang Kini Jadi Brigjen
image_5_1.jpg,On the other hand a signal is shown that helps the driver who is carrying a sick passenger. The driver can continue his journey until he removes the oil. (dok IG @tmcpoldametro),Hello! The police and citizens should help those who are sick when they get sick.
image_6_1.jpg,Human skeleton found in Bogor mountains,Find out more about the human skeleton in Bogor Mountain
image_7_1.jpg,RS Polli has identified 2 of the 7 remains found in Tewas of Kali Bekasi. Jenazah of the deceased was handed over directly to the family. (Wild N/detikcom),Sepung Diserahkan ke Family Ini Identitas 7 Janazah di Kali Bekasi
image_7_2.jpg,RS Polri handed over 5 gifts of Kali Bekasi to the family.,Sepung Diserahkan ke Family Ini Identitas 7 Janazah di Kali Bekasi
image_8_1.jpg,Dirbinmas Polda Metro Jaya Kombes Hariri Muharram Firmansyah giving socialization dangerous storm in Kalideres Jakarta West.,Marak Tavuran Polda Metro Minta Ortu Awasi Ketat Anak-anak
image_8_2.jpg,Dirbinmas Polda Metro Jaya Kombes Hariri Muharram Firmansyah giving socialization dangerous storm in Kalideres Jakarta West.,Marak Tavuran Polda Metro Minta Ortu Awasi Ketat Anak-anak
image_8_3.jpg,Dirbinmas Polda Metro Jaya Kombes Hariri Muharram Firmansyah giving socialization dangerous storm in Kalideres Jakarta West.,Marak Tavuran Polda Metro Minta Ortu Awasi Ketat Anak-anak
image_9_1.jpg,Illustration of Garis Police,Chronology Sopir Tewas Terimpit Peti Kemas Gegara Truck Patah As
image_10_1.jpg,The intolerance in Bekasi city was declared resolved peacefully. Pendeta Maria and ASN Pemkot Bekasi Masriwati saying sorry. (Youtube Pemkot Bekasi),Pendeta and ASN Pemkot Bekasi Saling Minta Maaf Usai Ramai Isu Intolerani
