image number,alt,article_heading
image_1_1.jpg,Vadel Badjideh akui putusi Lolly,Absent Examination Vadel Badjideh will be written again on 4th October
image_2_1.jpg,Gedung Mahkamah Konstitusti (MK)-(Angi Muliawati/detikcom),MK of Gugat Warga Minta Kotak Kosong of all elections even if there is only one candidate
image_3_1.jpg,Gedung Mahkamah Konstitusti (MK)-(Angi Muliawati/detikcom),Gugatan Kader PD di MK Kandas Walkot di Jakarta continues to be appointed Governor
image_4_1.jpg,Jubir KPK Tessa Mahardhika Sugiarto (Yogi-detikcom),KPK Check PNS Body Quarantine Fill in the Penbelian Asset for SYL
image_5_1.jpg,Dirdik KPK Asep Guntur Rahayu (right) and Jubir KPK Tessa Mahardhika (right) as they meet the press of KPK building.,KPK Sita Dokument Related to Izin Tambang from the House of Former Governor Kaltim
image_6_1.jpg,Former Director of Finance PT Timah Tbk Emil Ermindra became a witness in the case of corruption management team. (Mulia/detikcom),Tetian Wahyudi Sampat Kirim WA ke Eks Dirut PT Timah Apa Isinya?
image_7_1.jpg,Juru Bikar KPK Tessa Mahardhika saat meeta pers di KPK,KPK Cegah Ex-Governor Kaltim's External Affairs Related Case Is Tambang
image_8_1.jpg,Head of Department of Law and Legal Rabithah Alawiyah Ahmad Ramzy Baabud. (Dok Rabithah Alawiyah),Rabithah Alawiyah Bersyukur Pemalsu Sertificat Habib Divonis 15 Tahun Bui
image_9_1.jpg,Juru Bikar KPK Tessa Mahardhika saat meeta pers di KPK,KPK Tepatkan 3 Tersangka Related To Rented House Former Governor Kaltim
image_10_1.jpg,Two former directors of PT Timah Tbk said they were involved in the corruption case of management team that cost the country financial Rp 300 trillion. The two former Directors of PT Timah are Mochtar Riza Pahlevi Tabrani as Director General of PT Timah Tbk for the period 2016-2021 and Emil Ermindra as Director of Finance PT Timah Tbk for the period 2016-2020.,Hakim Sidang Harvey's first direct PT Timah: Aneh-aneh Karjaanmu
