image number,alt,article_heading
image_1_1.jpg,Regional Secretary of West Java (Sekda Jabar) Herman Suryatman,Sekda Jabar Harap Training Kepempinan Administrator Print ASN Leader
image_1_2.jpg,Regional Secretary of West Java (Sekda Jabar) Herman Suryatman,Sekda Jabar Harap Training Kepempinan Administrator Print ASN Leader
image_2_1.jpg,Union of Soviet Socialist Republics (USSR) KPK,NasDem Hormati KPK Geledah Rumah Awang Faroek
image_3_1.jpg,Kasie Humas Pollres Metro Jakarta Selatan AKP Nurma Dewi (Kurniawan F/detikcom),Vadel Ngaku absent from examination due to poor health wait for police in case of illness
image_4_1.jpg,MenPAN-RB Azwar Anas (Adrial/detikcom),MenPAN-RB Azwar Anas Di Gedung KPK Will Sign MoU
image_5_1.jpg,Vadel Badjideh akui putusi Lolly,Absent Examination Vadel Badjideh will be written again on 4th October
image_6_1.jpg,While evacuating one of the victims from Tertimbun Longsor mine location Solok Sumbar. (Doc. BPBD Solok),Korban Tewas Longsor Tambang di Solok increased to 15 people
image_7_1.jpg,Hadiri Workshop BPKP Bey Machmudin Ingatkan soal Tata Kelola Fatamorgana,Hadiri Workshop BPKP Bey ingaitkan soal Tata Kelola 'Fatamorgana'
image_8_1.jpg,Polres Metro Jakarta Center will launch an investigation into the management of anime companies that allegedly abuse and exploit their employees.,Korban Enterprises' policy of 'painting' shows evidence of animation what is it?
image_9_1.jpg,KSAD buka lomba pencak silat Piala KSAD (Rizky Adha Mahendra/detikcom),KSAD Open Long Pencak Silat Cup KSAD di Pakansari Bogor
image_10_1.jpg,One student of SMK Dibakok another student till he fell on the motorcycle of Jakbar. Two other students involved in the ban were arrested by the police. (M Fardan/detikcom),Sick Hearts Didekati Women of Bogor Bakok Bankai
