image number,alt,article_heading
image_1_1.jpg,President Joko Widodo (Jokowi) is returning to the Lintas Rail Transit (LRT) Jabodebek. Kalo ini jokovi invites a number of artists.,Jokowi Considers PPDB Zones Will Be Disappeared Reestablished or Not?
image_2_1.jpg,Moreover due to not knowing the shape and function of Surat Izin Mengemudi (SIM) the motor going viral finally followed the test SIM. Didampingi members of the police who are menilangnya Kohir visiting the traffic unit Mapolres Tasikmalaya Jawa West Tuesday (3/9/2019).,How long do you set your SIM to?
image_3_1.jpg,Pj Governor DKI Jakarta Heru Budi Hartono (Brigitta Belia/detikcom),Ngantor Dibagi Jam 8 dan 10 Agar Jakarta Tak Macet Setuju Ide Heru Itu?
image_3_2.jpg,Arus traffic jam packed in Jl TB Simatupang Jakarta South Tuesday (2/5/2023) exactly at Simapang Susun Andara. Started painting.,Ngantor Dibagi Jam 8 dan 10 Agar Jakarta Tak Macet Setuju Ide Heru Itu?
image_4_1.jpg,TransJakarta bus selection happened again. A male passenger sexually assaults a female passenger TransJakarta.,Tariff Discount Jadi Rp 5.000 Saat Jam Sibuk Patsangan TransJ Setuju?
image_5_1.jpg,The rule of entering school in the morning five in the morning in Nusa Tenggara East (NTT) is being changed due to video viral in social media. See the complete explanation.,I go to school at 5 in the morning and I go to Victor Laiskodat Itu?
image_6_1.jpg,Housing Estate Management Organization,Revision UU MK: Setujukah and Hakim Konstituti Bisa Di-recall?
image_7_1.jpg,Childfree,Mengemuka Ide Childfree Are You Set or Not?
image_7_2.jpg,Geeta Savitri.,Mengemuka Ide Childfree Are You Set or Not?
image_7_3.jpg,The BKKBN's husband is in Wardoyo,Mengemuka Ide Childfree Are You Set or Not?
image_7_4.jpg,Wapres Ma'ruf Amin (Brigitta Belia/detikcom),Mengemuka Ide Childfree Are You Set or Not?
image_7_5.jpg,Kommisioner Komnas Perempuan Siti Aminah,Mengemuka Ide Childfree Are You Set or Not?
image_8_1.jpg,Illustration of Pemilu,MK Anjut Sidang Sistem Pemilu Besok Anda Setuju Coblos Party Or College?
