image number,alt,article_heading
image_1_1.jpg,no alt text,EU plan to press ahead with China EV tariffs bad for ties and green ambitions -Xinhua
image_2_1.jpg,no alt text,Here’s how to delete your data from 23andMe if you’re worried about protecting your personal health information
image_3_1.jpg,no alt text,Broadcom Inc. (AVGO) Named a Core Stock by Wells Fargo for Long-Term Growth Potential in IT Sector
image_4_1.jpg,no alt text,A $803 billion company most people have never heard of just knocked Tesla out of the Magnificent 7
image_5_1.jpg,no alt text,China home sales rise after stimulus measures state media says
image_6_1.jpg,no alt text,K-Electric launches 'star reward' discount programme for loyal customers
image_7_1.jpg,no alt text,Taiwan Makes the Majority of the World’s Computer Chips. Now It’s Running Out of Electricity
image_8_1.jpg,no alt text,IV fluid supplies in US disrupted by Hurricane Helene
image_9_1.jpg,no alt text,Global chipmaking hit as Hurricane Helene disrupts quartz mining
image_10_1.jpg,no alt text,Israel-Iran war: Gold price retraces from record high on US dollar rebound. Should you buy? | Stock Market News
