image number,alt,article_heading
image_1_1.jpg,no alt text,Donald Glover cancels Childish Gambino tour dates because of ‘ailment’
image_2_1.jpg,no alt text,‘I’m fine with people bashing us’: inside the controversial Trump biopic
image_3_1.jpg,no alt text,Ben Affleck is ‘messing with JLo’s head'; pals worry he has become a ‘love addict’ and is ‘falling into a toxic pattern’
image_4_1.jpg,no alt text,Akala: rapper author public intellectual – and friend of Angelina Jolie?
image_5_1.jpg,no alt text,In ‘The Killing Roads’ filmmaker Igal Hecht confronts the visceral pain of Oct. 7
image_6_1.jpg,no alt text,Jax Taylor rekindles friendship with Tom Sandoval amid Brittany Cartwright divorce
image_7_1.jpg,no alt text,‘Everything ain’t for everybody’ Diddy warns Justin Bieber on Jimmy Kimmel’s show
image_8_1.jpg,no alt text,Disclaimer: Cate Blanchett’s new show is either beautiful … or a schlocky nightmare
image_9_1.jpg,no alt text,As Prince William's role in royal family grows is Harry's chance for reconciliation slipping away?
image_10_1.jpg,no alt text,TV tonight: a lovely night celebrating the brilliant Kirsty MacColl
