image number,alt,article_heading
image_1_1.jpg,no alt text,Imran Khan's party accuses Pakistan's Interior Minister of ordering tear gas shelling at D Chowk
image_2_1.jpg,no alt text,PTI plotting to sabotage SCO Summit government will thwart plan: Interior Minister
image_3_1.jpg,no alt text,"""Not going there to discuss India-Pakistan relations"": Jaishankar on his upcoming Islamabad visit for SCO Summit"
image_4_1.jpg,no alt text,K-P CM Gandapur's convoy tear gassed near Rawalpindi
image_5_1.jpg,no alt text,Lt Col five soldiers martyred in North Waziristan gun battle: ISPR
image_6_1.jpg,no alt text,CPEC Phase-II begins with new agreements b/w Pakistan China
image_7_1.jpg,no alt text,Terrorist involved in attack on foreign diplomats’ convoy killed: ISPR
image_8_1.jpg,no alt text,President PM pledge support to improve education system
image_9_1.jpg,no alt text,ML-1’s prospects
image_10_1.jpg,no alt text,‘Condemnable not surprising’: MEA on Zakir Naik’s Pak visit
