image number,alt,article_heading
image_1_1.jpg,no alt text,Iran’s missile attack on Israel raises questions about limits of arsenal
image_2_1.jpg,no alt text,Hezbollah's Safieddine 'unreachable' since Friday source says
image_3_1.jpg,no alt text,US warships and planes strike Houthi targets in Yemen
image_4_1.jpg,no alt text,The week that pushed the Middle East closer to all-out war
image_5_1.jpg,no alt text,UAE flight delays: How is the unfolding Middle East conflict affecting international flights?
image_6_1.jpg,no alt text,Indian troops kill 31 suspected Maoist rebels in forest battle
image_7_1.jpg,no alt text,Middle East crisis live: Israel launches fresh strikes on Beirut amid clashes with Hezbollah near Lebanese border
image_8_1.jpg,no alt text,Beirut strikes target potential new Hezbollah chief Israeli official says
image_9_1.jpg,no alt text,Israeli strike kills Hamas commander in occupied West Bank
image_10_1.jpg,no alt text,Russia decides ‘at highest level’ to remove Afghan Taliban from terrorist list
