image number,alt,article_heading
image_1_1.jpg,,After being a vegetarian for half a year a 25-year-old woman developed fatty liver
image_2_1.jpg,,Scientists discover biomolecules that could survive on Venus
image_3_1.jpg,,The first domestic innovative nuclear medicine was included in the priority review! Listed companies that benefited
image_3_2.jpg,,The first domestic innovative nuclear medicine was included in the priority review! Listed companies that benefited
image_3_3.jpg,,The first domestic innovative nuclear medicine was included in the priority review! Listed companies that benefited
image_3_4.jpg,,The first domestic innovative nuclear medicine was included in the priority review! Listed companies that benefited
image_4_1.jpg,,Mixing these two drinks together can cause long-term damage to your brain! Don't drink this at holiday parties
image_4_2.jpg,,Mixing these two drinks together can cause long-term damage to your brain! Don't drink this at holiday parties
image_4_3.jpg,,Mixing these two drinks together can cause long-term damage to your brain! Don't drink this at holiday parties
image_4_4.jpg,,Mixing these two drinks together can cause long-term damage to your brain! Don't drink this at holiday parties
image_4_5.jpg,,Mixing these two drinks together can cause long-term damage to your brain! Don't drink this at holiday parties
image_5_1.jpg,,These vegetables can really lower blood pressure study finds
image_5_2.jpg,,These vegetables can really lower blood pressure study finds
image_5_3.jpg,,These vegetables can really lower blood pressure study finds
image_5_4.jpg,,These vegetables can really lower blood pressure study finds
image_5_5.jpg,,These vegetables can really lower blood pressure study finds
image_5_6.jpg,,These vegetables can really lower blood pressure study finds
image_5_7.jpg,,These vegetables can really lower blood pressure study finds
image_5_8.jpg,,These vegetables can really lower blood pressure study finds
image_5_9.jpg,,These vegetables can really lower blood pressure study finds
image_5_10.jpg,,These vegetables can really lower blood pressure study finds
image_6_1.jpg,,Scientists discover circadian rhythm disruption may lead to cancer
image_7_1.jpg,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
image_7_2.jpg,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
image_7_3.jpg,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
image_7_4.jpg,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
image_7_5.jpg,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
image_7_6.jpg,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
image_7_7.jpg,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
image_8_1.jpg,,Overnight water or boiled water does not really cause cancer but these foods must not be left until the next day!
image_9_1.jpg,,"I've never seen such a thing before: a light bulb was stuck in the anus, and even surgery couldn't fix it, but it was taken out by a rotation student..."
image_9_2.jpg,,"I've never seen such a thing before: a light bulb was stuck in the anus, and even surgery couldn't fix it, but it was taken out by a rotation student..."
image_9_3.jpg,,"I've never seen such a thing before: a light bulb was stuck in the anus, and even surgery couldn't fix it, but it was taken out by a rotation student..."
image_10_1.jpg,,"17-year-old boy suddenly ""becomes"" a girl: rare abnormality of sexual development and difficult gender selection"
