image number,alt,article_heading,article_url
image_1_1.jpg,Ile kosztuje mycie i sprzątanie grobu?,"Tyle zarabia się na sprzątaniu grobów. Zainteresowanie jest ogromne""""",https://finanse.wp.pl/tyle-zarabia-sie-na-sprzataniu-grobow-zainteresowanie-jest-ogromne-7078054761774048a
image_2_1.jpg,Bogaty jak polski rolnik? GUS: zarabiają 5.5 thousand. zł na hektarze,Zarabiają 175 tys. zł rocznie? Rolnicy oburzeni po ujawnieniu danych GUS,https://finanse.wp.pl/zarabiaja-175-tys-zl-rocznie-rolnicy-oburzeni-po-ujawnieniu-danych-gus-7077312699497408a
image_2_2.jpg,dochody rolników,Zarabiają 175 tys. zł rocznie? Rolnicy oburzeni po ujawnieniu danych GUS,https://finanse.wp.pl/zarabiaja-175-tys-zl-rocznie-rolnicy-oburzeni-po-ujawnieniu-danych-gus-7077312699497408a
image_3_1.jpg,Czyszczenie zębów z kamienia również na NFZ,Price: 400 zł. Na NFZ ten zabieg jest za darmo,https://finanse.wp.pl/prywatnie-wydasz-400-zl-na-nfz-ten-zabieg-jest-za-darmo-7077974629325760a
image_4_1.jpg,UOKiK wykrył niebezpieczne chemikalia m.in. w ubraniach pościeli i obuwiu,Niebezpieczne chemikalia w ubraniach. Niepokojące wyniki badań,https://finanse.wp.pl/niebezpieczne-chemikalia-w-ubraniach-niepokojace-wyniki-badan-7078002409442240a
image_5_1.jpg,Steve Jobs miał skłonność odwlekania podejmowania decyzji,Wybitnie intelligentni. 4 nieoczywiste cechy osób z wysokim IQ,https://finanse.wp.pl/niezwykle-cechy-inteligentnych-ludzi-prokrastynacja-i-pozne-wstawanie-7078128899353568a
image_6_1.jpg,Gdzie wyrzucić opakowanie po mięsie?,Gdzie wyrzucić opakowanie po mięsie? Niektórzy robią to źle,https://finanse.wp.pl/gdzie-wyrzucic-opakowanie-po-miesie-niektorzy-robia-to-zle-7078111252437121a
image_7_1.jpg,Obowiązują nowe stawki za pobyt w sanatoriach,Tańszy pobyt w sanatorium. Oto nowe stawki,https://finanse.wp.pl/tanszy-pobyt-w-sanatorium-oto-nowe-stawki-7078105707162592a
image_8_1.jpg,Problemy z odbiorem zakupów w Aldi w Niemczech,Zamiast z zakupami wychodzą z pustymi rękoma. Kłopot Niemcow,https://finanse.wp.pl/niemcy-nie-moga-odebrac-zakupow-problem-w-duzej-sieci-handlowej-7078066453363648a
image_9_1.jpg,Zmiany w zakazie handlu na terenach dotkniętych przez powódź,W te niedziele sklepy będą otwarte. Zmiany dla kilku województw,https://finanse.wp.pl/w-te-niedziele-sklepy-beda-otwarte-zmiany-dla-kilku-wojewodztw-7078054499150784a
image_10_1.jpg,Platforma morskiej farmy wiatrowej Baltic Power w okolicach Lubiatowa,Wiatraki na Bałtyku. Wykonano pierwszy odwiert,https://finanse.wp.pl/wiatraki-na-baltyku-wykonano-pierwszy-odwiert-7078039010216896a
