image number,alt,article_heading,article_url
image_1_1.jpg,Natalia Gorska,Beauty and the Beast. She posted a video with her partner,"https://fitness.wp.pl/27008,piekna-i-bestia-wrzucila-nagranie-z-partnerem"
image_2_1.jpg,,She went on vacation and jumped in a bikini. What a view,"https://fitness.wp.pl/27004,pojchala-na-wakacje-i-wskoczyla-w-bikini-co-za-widok"
image_3_1.jpg,,How to lose 10 kg in two weeks? Diet for the persistent,"https://fitness.wp.pl/21456,dieta-ktora-pozwoli-ci-szybko-schudnac-czy-to-zdrowe"
image_4_1.jpg,,She's been waiting for this for a long time. We know where she went on vacation,"https://fitness.wp.pl/27002,czekala-na-to-od-dawna-wiadomo-gdzie-poleciala-na-urlop"
image_5_1.jpg,Adrianna Kaczmarek,She spoke about the most difficult moment in her career. An unimaginable tragedy,"https://fitness.wp.pl/26998,opowiedziala-o-najtrudniejszym-momencie-w-karierze-niewyobrazalna-tragedia"
image_6_1.jpg,,She showed her husband. The occasion was special,"https://fitness.wp.pl/26996,pokazala-swojego-meza-okazja-byla-wyjatkowa"
image_7_1.jpg,,"She hadn't cried that much in a long time. It had been a crazy month.""","https://fitness.wp.pl/26995,dawno-tyle-nie-plakala-to-byl-szalony-miesiac"
image_8_1.jpg,Mariusz Pudzianowski,He accused Pudzian of being a cabaret artist. He reacted quickly.,"https://fitness.wp.pl/26990,zarzucil-pudzianowi-ze-jest-kabareciarzem-ten-szybko-zareagowal"
image_9_1.jpg,Joanna Wróblewska,"Popular trainer stood in front of a mirror. What a ""checkerboard"" she has on her belly!","https://fitness.wp.pl/26986,popularna-trenerka-stanela-przed-lustrem-alez-ma-krate-na-brzuchu"
image_10_1.jpg,,She's having a grumpy day. She revealed what she does then
