image number,alt,article_heading
image_1_1.jpg,Tim Chan is sitting next to a stream in an outdoor area. There are trees visible behind him and he is wearing a dark grey hooded sweatshirt and looking straight at the camera. ,Tool promised to help non-verbal people - but did it manipulate them instead?
image_1_2.jpg,Marlena uses a purple board with words and colours on it to show what she means,Tool promised to help non-verbal people - but did it manipulate them instead?
image_1_3.jpg,Rosemary Crossley wearing a dark top and looking straight at the camera and Anne McDonald in a wheelchair. The picture appears to be professionally taken and they are in a back garden.,Tool promised to help non-verbal people - but did it manipulate them instead?
image_1_4.jpg,Sarah and Tim Chan ,Tool promised to help non-verbal people - but did it manipulate them instead?
image_1_5.jpg,Anna Stubblefield in an image which appears to be a mug shot. She is looking directly at the camera and has short brown hair. ,Tool promised to help non-verbal people - but did it manipulate them instead?
image_2_1.jpg,"A test tube labelled ""Mpox virus positive"" is held in this illustration taken August 20 2024. ",WHO approves first mpox test for quick diagnosis
image_2_2.jpg,A woman looking at her mobile phone and the graphic BBC News Africa,WHO approves first mpox test for quick diagnosis
image_3_1.jpg,Jemma and her newborn son Hugo,First newborns join screening for 200 rare diseases
image_3_2.jpg,Dominika Nanus and her one-day-old daughter Emilia who is part of the screening programme,First newborns join screening for 200 rare diseases
image_3_3.jpg,Joshua dancing and singing - image taken from a family video,First newborns join screening for 200 rare diseases
image_3_4.jpg,Lucy White with her son Joshua who is nine years old,First newborns join screening for 200 rare diseases
image_4_1.jpg,Particles of the Marburg virus,Rwanda limits funeral sizes due to Marburg virus outbreak
image_4_2.jpg,A woman looking at her mobile phone and the graphic BBC News Africa,Rwanda limits funeral sizes due to Marburg virus outbreak
image_5_1.jpg,A woman looking at her mobile phone and the graphic BBC News Africa,Porridge recalled after three children die in South Africa
image_5_2.jpg,An image of porridge ,Porridge recalled after three children die in South Africa
image_6_1.jpg,Microscope image of Marburg virus,What is the Marburg virus and how dangerous is it?
image_6_2.jpg,Egyptian rousette fruit bat being held in a gloved hand,What is the Marburg virus and how dangerous is it?
image_6_3.jpg,An African green monkey on the jungle floor,What is the Marburg virus and how dangerous is it?
image_7_1.jpg,A picture of Kris and Maren as young children. They have shoulder length blonde hair and are wearing pink and blue jumpers. They are smiling at the camera.,'Kris is still saving lives' says twin of late breast cancer campaigner
image_7_2.jpg,Kris is sitting upright in a hospital bed. She has glasses on and her hand is wrapped in a bandage. Maren is sitting on a chair next to her. She has a surgical mask over her mouth and is smiling.,'Kris is still saving lives' says twin of late breast cancer campaigner
image_7_3.jpg,Kris is standing on the coastline. She is wearing a cardigan and is looking out on to the horizon. The Sun can be seen shining in the distance.,'Kris is still saving lives' says twin of late breast cancer campaigner
image_7_4.jpg,Kris is standing in the sea. She has her arms outstretched and is smiling. Two people can be seen in the background behind her and the sun is shining.,'Kris is still saving lives' says twin of late breast cancer campaigner
image_7_5.jpg,A graphic shows how to spot the symptoms of breast cancer. These include looking out for lumps and thickening pain or swelling in the breast or armpit changes in skin texture unusual nipple discharge sudden change in size or shape red or scaly rash on the skin of the nipple or surrounding area and nipple inversion.,'Kris is still saving lives' says twin of late breast cancer campaigner
image_7_6.jpg,Dawn French is standing behind a brown lectern. She is wearing a cassock and is looking out at the congregation and smiling. Her hair is grey.,'Kris is still saving lives' says twin of late breast cancer campaigner
image_7_7.jpg,Kris and Maren are taking a selfie. Kris is wearing a rainbow striped top with a green cardigan. She has a pink scarf wrapped around her head. Maren is wearing a pink jumper. They are smiling and look joyful.,'Kris is still saving lives' says twin of late breast cancer campaigner
image_7_8.jpg,Kris Hallenga is cuddling her sister Maren. Kris is wearing a sparkly silver and black jacket. Maren is wearing a sparkly green jacket. They are both smiling.,'Kris is still saving lives' says twin of late breast cancer campaigner
image_7_9.jpg,Kris Hallenga,'Kris is still saving lives' says twin of late breast cancer campaigner
image_7_10.jpg,Kris Hallenga lies on her back on the grass. She is resting her head on her arm. Kris is wearing a green top and is smiling. ,'Kris is still saving lives' says twin of late breast cancer campaigner
image_7_11.jpg,Kris and Maren are sitting in the congregation smiling. Kris is wearing a black and silver sparkly jacket with red and green feathers on it. Maren is wearing a green sparkly jacket. Sitting besides Maren is a person dressed in a suit of armour.,'Kris is still saving lives' says twin of late breast cancer campaigner
image_8_1.jpg,Electron Micrograph Of The Marburg Virus,Marburg virus outbreak kills six in Rwanda
image_8_2.jpg,A woman looking at her mobile phone and the graphic BBC News Africa,Marburg virus outbreak kills six in Rwanda
image_9_1.jpg,Picture showing the closed and empty Huanan Seafood Wholesale Market in Wuhan China.,Genetic ghosts suggest Covidâs market origins
image_9_2.jpg,A mother racoon dog attending to her offspring,Genetic ghosts suggest Covidâs market origins
image_9_3.jpg,Aerial view shows the campus of the Wuhan Institute of Virology in China's central Hubei province ,Genetic ghosts suggest Covidâs market origins
image_9_4.jpg,A masked palm civet sitting in a tree,Genetic ghosts suggest Covidâs market origins
image_10_1.jpg,Woman with a positive Covid test after checking it at home,New XEC Covid variant: What are the symptoms and is it spreading in the UK?
