image number,alt,article_heading
image_1_1.jpg,Kenyan police officers patrol in Haiti,Children among 70 killed in Haiti gang 'massacre'
image_1_2.jpg,People could be seen fleeing the violence on motorbikes and on foot,Children among 70 killed in Haiti gang 'massacre'
image_2_1.jpg,A classic British red phone box is pictured outside the Falkland Islands visitors centre in Port Stanley.,UK commitment to Falklands 'unwavering' despite Chagos deal
image_3_1.jpg,Raimundinha Rodrigues Da Sousa ,'It kills everything' - Amazonâs indigenous people hit by record forest fires in Brazil
image_3_2.jpg,A group walk from the river across sand with water bottles ,'It kills everything' - Amazonâs indigenous people hit by record forest fires in Brazil
image_3_3.jpg,A fire in the Amazon rainforest ,'It kills everything' - Amazonâs indigenous people hit by record forest fires in Brazil
image_3_4.jpg,Dorismar Luiz Baruffi,'It kills everything' - Amazonâs indigenous people hit by record forest fires in Brazil
image_3_5.jpg,ZÃ© Bajaga ,'It kills everything' - Amazonâs indigenous people hit by record forest fires in Brazil
image_3_6.jpg,Cracked land shows the extent of the drought in the area,'It kills everything' - Amazonâs indigenous people hit by record forest fires in Brazil
image_4_1.jpg,Haitian migrants seen at the back of a lorry belonging to the immigration enforcement service of the Dominican Republic,Dominican Republic 'to deport up to 10000 migrants a week'
image_5_1.jpg,Migrants enter Mexico at its border with Guatemala hoping to reach the US,Six migrants die after Mexico soldiers open fire
image_6_1.jpg,A section of Spanish galleon San JosÃ©,The fierce battle over the 'Holy Grail' of shipwrecks
image_6_2.jpg,Colombian scientific ship ARC âCaribeâ ,The fierce battle over the 'Holy Grail' of shipwrecks
image_6_3.jpg,Rodrigo Pacheco Ruiz a Mexican deep-sea diver,The fierce battle over the 'Holy Grail' of shipwrecks
image_6_4.jpg,âWagerâs action off Cartagenaâ by Samuel Scott,The fierce battle over the 'Holy Grail' of shipwrecks
image_7_1.jpg,Mexico's new President Claudia Sheinbaum raises her fist as she delivers a speech during her swearing-in ceremony at the Congress in Mexico City Mexico October 1 2024,Mexico's first female president vows 'it's time for women'
image_7_2.jpg,A person holds two cards with the images of Mexico's President Claudia Sheinbaum (L) and former Mexican President Andres Manuel Lopez Obrador in Mexico City's Zocalo Mexico 01 October 2024.,Mexico's first female president vows 'it's time for women'
image_7_3.jpg,"People attend a ceremony where Mexico's new President Claudia Sheinbaum receives the ""baton of command"" at Zocalo Square in Mexico City Mexico October 1 2024.",Mexico's first female president vows 'it's time for women'
image_7_4.jpg,"Mexico's new President Claudia Sheinbaum holds the ""baton of command"" during a ceremony at Zocalo Square in Mexico City Mexico October 1 2024.",Mexico's first female president vows 'it's time for women'
image_8_1.jpg,People cross an avenue flooded by the passage of Hurricane John in the upper part of the port of Acapulco in Guerrero Mexico 27 September 2024,Mexico counting dead from 'zombie storm' John
image_8_2.jpg,A woman and a man holding a baby walk barefoot on a muddy street in Acapulco Guerrero Mexico,Mexico counting dead from 'zombie storm' John
image_9_1.jpg,IPlayer image,How sailors say they were tricked into smuggling cocaine by a British man
image_9_2.jpg,Cocaine packets found on the Rich Harvest,How sailors say they were tricked into smuggling cocaine by a British man
image_9_3.jpg, Daniel Guerra on Rich Harvest in Salvador Brazil - 2017,How sailors say they were tricked into smuggling cocaine by a British man
image_9_4.jpg,Pink line,How sailors say they were tricked into smuggling cocaine by a British man
image_9_5.jpg,The Rich Harvest yacht pictured off the coast of Brazil in 2017,How sailors say they were tricked into smuggling cocaine by a British man
image_9_6.jpg,BBC Sounds image,How sailors say they were tricked into smuggling cocaine by a British man
image_9_7.jpg,"Daniel Guerra (L) and Rodrigo Dantas (R) with George Saul AKA ""Fox"" in Salvador Brazil - 2017",How sailors say they were tricked into smuggling cocaine by a British man
image_9_8.jpg,Orange line,How sailors say they were tricked into smuggling cocaine by a British man
image_9_9.jpg,A photo posted on George Saul's Instagram account showing him sailing,How sailors say they were tricked into smuggling cocaine by a British man
image_9_10.jpg,A woman looking at her mobile phone and the graphic BBC News Africa,How sailors say they were tricked into smuggling cocaine by a British man
image_9_11.jpg,Daniel Guerra (L) and Rodrigo Dantas (R) holding beers in 2017,How sailors say they were tricked into smuggling cocaine by a British man
image_10_1.jpg,Protesters in Mexico City carrying a banner commemorating the 43 missing student teachers,Families of 43 missing students in Mexico are still demanding justice
image_10_2.jpg,Margarito Guerrero,Families of 43 missing students in Mexico are still demanding justice
image_10_3.jpg, Luz MarÃ­a Telumbre,Families of 43 missing students in Mexico are still demanding justice
