image number,alt,article_heading,article_url
image_1_1.jpg,Minerva McGonagall was head of the Hogwarts house Gryffindor,"Harry Potter star dead at 89: As ""Professor McGonagall"" Maggie Smith was magic",https://www.bild.de/unterhaltung/film-kino/schauspielerin-stirbt-mit-89-jahren-harry-potter-star-professor-mcgonagall-ist-tot-66f6af7b7728166d1e1fb7ac
image_1_2.jpg,Won numerous awards for her theater and film art: Maggie Smith,"Harry Potter star dead at 89: As ""Professor McGonagall"" Maggie Smith was magic",https://www.bild.de/unterhaltung/film-kino/schauspielerin-stirbt-mit-89-jahren-harry-potter-star-professor-mcgonagall-ist-tot-66f6af7b7728166d1e1fb7ac
image_1_3.jpg,Maggie Smith and Brooke Shields at the 1979 Oscars: The Brit won the world's most coveted film award twice as best actress,"Harry Potter star dead at 89: As ""Professor McGonagall"" Maggie Smith was magic",https://www.bild.de/unterhaltung/film-kino/schauspielerin-stirbt-mit-89-jahren-harry-potter-star-professor-mcgonagall-ist-tot-66f6af7b7728166d1e1fb7ac
image_1_4.jpg,"Series success ""Downton Abbey"" with (from left): Elizabeth McGovern Maggie Smith Michelle Dockery Laura Carmichael and Jessica Brown Findlay","Harry Potter star dead at 89: As ""Professor McGonagall"" Maggie Smith was magic",https://www.bild.de/unterhaltung/film-kino/schauspielerin-stirbt-mit-89-jahren-harry-potter-star-professor-mcgonagall-ist-tot-66f6af7b7728166d1e1fb7ac
image_1_5.jpg,They had known each other for decades the Queen was a fan of Maggie Smith: Here the two met in 1966 after an “Othello” premiere in the presence of Laurence Olivier,"Harry Potter star dead at 89: As ""Professor McGonagall"" Maggie Smith was magic",https://www.bild.de/unterhaltung/film-kino/schauspielerin-stirbt-mit-89-jahren-harry-potter-star-professor-mcgonagall-ist-tot-66f6af7b7728166d1e1fb7ac
image_2_1.jpg,John Ashton (center) in “Beverly Hills Cop”,"John Ashton is dead: ""Beverly Hills Cop"" star dies at 76",https://www.bild.de/unterhaltung/film-kino/john-ashton-beverly-hills-cop-star-stirbt-mit-76-jahren-66f9a10cee5af53f9b2062be
image_2_2.jpg,"Ashton alongside Murphy in the new ""Beverly Hills Cop"" (2024)","John Ashton is dead: ""Beverly Hills Cop"" star dies at 76",https://www.bild.de/unterhaltung/film-kino/john-ashton-beverly-hills-cop-star-stirbt-mit-76-jahren-66f9a10cee5af53f9b2062be
image_2_3.jpg,John Ashton five years ago at a film festival,"John Ashton is dead: ""Beverly Hills Cop"" star dies at 76",https://www.bild.de/unterhaltung/film-kino/john-ashton-beverly-hills-cop-star-stirbt-mit-76-jahren-66f9a10cee5af53f9b2062be
image_3_1.jpg,Halle Berry is considered one of the most beautiful women in Hollywood. But she has never relied on that alone,Hollywood beauty Halle Berry in an interview with BILD: It's nice not to be so beautiful for once.,https://www.bild.de/unterhaltung/film-kino/hollywood-beauty-halle-berry-im-bild-interview-schoen-mal-nicht-schoen-zu-sein-66e83535fe73281543a95113
image_3_2.jpg,Her great love since 2020: Halle Berry with musician Van Hunt,Hollywood beauty Halle Berry in an interview with BILD: It's nice not to be so beautiful for once.,https://www.bild.de/unterhaltung/film-kino/hollywood-beauty-halle-berry-im-bild-interview-schoen-mal-nicht-schoen-zu-sein-66e83535fe73281543a95113
image_3_3.jpg,Halle Berry with her film children Samuel (Anthony B. Jenkins l.) and Nolan (Percy Daggs IV),Hollywood beauty Halle Berry in an interview with BILD: It's nice not to be so beautiful for once.,https://www.bild.de/unterhaltung/film-kino/hollywood-beauty-halle-berry-im-bild-interview-schoen-mal-nicht-schoen-zu-sein-66e83535fe73281543a95113
image_3_4.jpg,Berry is the mother of two children who almost never appear in public. Nahla Aubry is 16 and Maceo-Robert Martinez is 10,Hollywood beauty Halle Berry in an interview with BILD: It's nice not to be so beautiful for once.,https://www.bild.de/unterhaltung/film-kino/hollywood-beauty-halle-berry-im-bild-interview-schoen-mal-nicht-schoen-zu-sein-66e83535fe73281543a95113
image_3_5.jpg,"This is what ""Never Let Go"" is about: A wooden hut in the middle of the forest civilization at its end and a mother who wants nothing more than to protect her two children from evil. But evil is not as far away as she thinks...",Hollywood beauty Halle Berry in an interview with BILD: It's nice not to be so beautiful for once.,https://www.bild.de/unterhaltung/film-kino/hollywood-beauty-halle-berry-im-bild-interview-schoen-mal-nicht-schoen-zu-sein-66e83535fe73281543a95113
image_3_6.jpg,"Halle Berry's beauty secret? ""No sugar!"" The actress suffers from diabetes and therefore avoids sweets",Hollywood beauty Halle Berry in an interview with BILD: It's nice not to be so beautiful for once.,https://www.bild.de/unterhaltung/film-kino/hollywood-beauty-halle-berry-im-bild-interview-schoen-mal-nicht-schoen-zu-sein-66e83535fe73281543a95113
image_4_1.jpg,Fun on set: Eve Hewson in the new Netflix series “A New Summer”,Bono's daughter goes her own way: Just like her dad? Not really!,https://www.bild.de/unterhaltung/film-kino/bono-tochter-geht-ihren-eigenen-weg-ganz-der-papa-nicht-wirklich-66daac8b72222a3f338e3959
image_4_2.jpg,Eve Hewson: “No friends no relationship” is what she says about herself. The Bono daughter is now a sought-after actress herself,Bono's daughter goes her own way: Just like her dad? Not really!,https://www.bild.de/unterhaltung/film-kino/bono-tochter-geht-ihren-eigenen-weg-ganz-der-papa-nicht-wirklich-66daac8b72222a3f338e3959
image_4_3.jpg,Eve Hewson is the second eldest of Bono's four children,Bono's daughter goes her own way: Just like her dad? Not really!,https://www.bild.de/unterhaltung/film-kino/bono-tochter-geht-ihren-eigenen-weg-ganz-der-papa-nicht-wirklich-66daac8b72222a3f338e3959
image_4_4.jpg,Bono surrounded by his favorite women: wife Alison Hewson (l.) Eve (2nd from right) and Jordan,Bono's daughter goes her own way: Just like her dad? Not really!,https://www.bild.de/unterhaltung/film-kino/bono-tochter-geht-ihren-eigenen-weg-ganz-der-papa-nicht-wirklich-66daac8b72222a3f338e3959
image_4_5.jpg,"Scene from ""A New Summer"" here with Dakota Fanning (left) as Abby Winbury. Eve Hewson plays Amelia Sacks in the new Netflix hit who wants to marry into one of the richest families on Nantucket. It is supposed to be the best day of her life but then events take a different course...",Bono's daughter goes her own way: Just like her dad? Not really!,https://www.bild.de/unterhaltung/film-kino/bono-tochter-geht-ihren-eigenen-weg-ganz-der-papa-nicht-wirklich-66daac8b72222a3f338e3959
image_4_6.jpg,"Meghann Fahy Eve Hewson and Nicole Kidman at the LA premiere of ""A New Summer""",Bono's daughter goes her own way: Just like her dad? Not really!,https://www.bild.de/unterhaltung/film-kino/bono-tochter-geht-ihren-eigenen-weg-ganz-der-papa-nicht-wirklich-66daac8b72222a3f338e3959
image_5_1.jpg,Bruce Willis' daughter Rumer Willis was caught kissing in a no-parking zone,Firefighter quenches Rumer Willis’ thirst for love,https://www.bild.de/unterhaltung/film-kino/feuerwehrmann-loescht-rumer-willis-liebesdurst-66e69446cb180e1cf92085b2
image_5_2.jpg,The unknown fireman quenches the 36-year-old's thirst for love,Firefighter quenches Rumer Willis’ thirst for love,https://www.bild.de/unterhaltung/film-kino/feuerwehrmann-loescht-rumer-willis-liebesdurst-66e69446cb180e1cf92085b2
image_5_3.jpg,They were still a couple: Willis with ex Derek Richard Thomas the father of little Louetta,Firefighter quenches Rumer Willis’ thirst for love,https://www.bild.de/unterhaltung/film-kino/feuerwehrmann-loescht-rumer-willis-liebesdurst-66e69446cb180e1cf92085b2
image_5_4.jpg,Where is Grandpa?! Louetta stares at Bruce Willis. The demented megastar looks happy in the snapshot,Firefighter quenches Rumer Willis’ thirst for love,https://www.bild.de/unterhaltung/film-kino/feuerwehrmann-loescht-rumer-willis-liebesdurst-66e69446cb180e1cf92085b2
image_6_1.jpg,Life already over? Heinz Hellmich (Jan Josef Liefers) does not want to accept THAT,"Trailer premiere: Jan Josef Liefers as ""Old White Man""",https://www.bild.de/unterhaltung/film-kino/trailer-premiere-jan-josef-liefers-als-alter-weisser-mann-66daab0a72222a3f338e394c
image_6_2.jpg,The comedy “Old White Man” will be shown in cinemas nationwide from October 31st,"Trailer premiere: Jan Josef Liefers as ""Old White Man""",https://www.bild.de/unterhaltung/film-kino/trailer-premiere-jan-josef-liefers-als-alter-weisser-mann-66daab0a72222a3f338e394c
image_7_1.jpg,"Lily Collins as the main protagonist in ""Emily in Paris""",“Emily in Paris” on Netflix: What you need to know about the second part,https://www.bild.de/unterhaltung/film-kino/emily-in-paris-bei-netflix-was-sie-ueber-den-zweiten-teil-wissen-muessen-6638e1e43dbd352feb0ee2c6
