image number,alt,article_heading,article_url
image_1_1.jpg,Full halls: 215000 visitors came to Frankfurt for the 2023 Book Fair,Frankfurt Book Fair 2024: These celebrities are coming!,https://www.bild.de/regional/frankfurt/frankfurter-buchmesse-2024-diese-promis-kommen-2024-66f66fc049723c1ff7d14a65
image_1_2.jpg,Around 4000 publishers present their new releases,Frankfurt Book Fair 2024: These celebrities are coming!,https://www.bild.de/regional/frankfurt/frankfurter-buchmesse-2024-diese-promis-kommen-2024-66f66fc049723c1ff7d14a65
image_1_3.jpg,Thomas Gottschalk (right) comes to the book fair. At the Munich Oktoberfest he recently toasted with Arnold Schwarzenegger,Frankfurt Book Fair 2024: These celebrities are coming!,https://www.bild.de/regional/frankfurt/frankfurter-buchmesse-2024-diese-promis-kommen-2024-66f66fc049723c1ff7d14a65
image_2_1.jpg,Barbra Streisand bought a fake Van Gogh painting,Barbra Streisand unknowingly buys Van Gogh fake,https://www.bild.de/leben-wissen/barbra-streisand-ersteigert-unwissentlich-van-gogh-faelschung-67010122cbb3aa0a8a37a377
image_2_2.jpg,Woman with a green cap: On the left the original hangs in the Van Gogh Museum in Amsterdam; on the right the fake,Barbra Streisand unknowingly buys Van Gogh fake,https://www.bild.de/leben-wissen/barbra-streisand-ersteigert-unwissentlich-van-gogh-faelschung-67010122cbb3aa0a8a37a377
image_2_3.jpg,The fake flowers exposed this fake: In the original autumn begonias and not summer flowers are in the vases,Barbra Streisand unknowingly buys Van Gogh fake,https://www.bild.de/leben-wissen/barbra-streisand-ersteigert-unwissentlich-van-gogh-faelschung-67010122cbb3aa0a8a37a377
image_2_4.jpg,A supposed self-portrait of van Gogh,Barbra Streisand unknowingly buys Van Gogh fake,https://www.bild.de/leben-wissen/barbra-streisand-ersteigert-unwissentlich-van-gogh-faelschung-67010122cbb3aa0a8a37a377
image_3_1.jpg,The cinema is not always so empty. And then the fight for the armrest begins,Who owns the armrest in the cinema?,https://www.bild.de/lifestyle/kultur/ratgeber/wem-gehoert-die-armlehne-im-kino-64f85a9921b67127f15e50ce
image_4_1.jpg,Salvator mundi – the 450 million euro painting will soon hang in a Louvre branch in Saudi Arabia,406 million euros: World's most expensive painting by d aVinci discovered,https://www.bild.de/leben-wissen/versteckt-in-geheimnisvollem-lager-teuerstes-gemaelde-der-welt-entdeckt-66c44c4e8e840b14905e3e38
image_4_2.jpg,Camel market in Saudi Arabia: In the desert country the sheikh is planning an art museum that will outshine the Louvre in Paris,406 million euros: World's most expensive painting by d aVinci discovered,https://www.bild.de/leben-wissen/versteckt-in-geheimnisvollem-lager-teuerstes-gemaelde-der-welt-entdeckt-66c44c4e8e840b14905e3e38
image_5_1.jpg,High cheekbones Jesus Christ according to AI,Jesus Christ: AI shows the face of the Son of God,https://www.bild.de/leben-wissen/jesus-christus-ki-zeigt-das-gesicht-des-sohn-gottes-66c8208f7ecdec7a16ef3d00
image_5_2.jpg,The Shroud of Turin in the Church of San Lorenzo,Jesus Christ: AI shows the face of the Son of God,https://www.bild.de/leben-wissen/jesus-christus-ki-zeigt-das-gesicht-des-sohn-gottes-66c8208f7ecdec7a16ef3d00
image_6_1.jpg,On Tuesday (13 August) the latest Banksy work was discovered at the zoo. A gorilla releasing animals suddenly appeared on a roller shutter,Banksy continues mysterious animal series in London,https://www.bild.de/news/ausland/banksy-setzt-geheimnisvolle-tier-reihe-in-london-fort-66baf6571b32861f6ad546b0
image_6_2.jpg,The swarm of piranhas that the artist had immortalised on a police box attracted many onlookers. The police even had to regulate traffic,Banksy continues mysterious animal series in London,https://www.bild.de/news/ausland/banksy-setzt-geheimnisvolle-tier-reihe-in-london-fort-66baf6571b32861f6ad546b0
image_6_3.jpg,The old billboard on which Banksy had sprayed a cat has now been removed by the owner – to boos from disappointed Banksy fans,Banksy continues mysterious animal series in London,https://www.bild.de/news/ausland/banksy-setzt-geheimnisvolle-tier-reihe-in-london-fort-66baf6571b32861f6ad546b0
image_6_4.jpg,Coldly dismantled - will the thieves sell Banksy's wolf bowl?,Banksy continues mysterious animal series in London,https://www.bild.de/news/ausland/banksy-setzt-geheimnisvolle-tier-reihe-in-london-fort-66baf6571b32861f6ad546b0
image_6_5.jpg,Two Banksy pelicans now decorate “Bonner’s Fish Bar” in Walthamstow in East London. This work is theft-proof,Banksy continues mysterious animal series in London,https://www.bild.de/news/ausland/banksy-setzt-geheimnisvolle-tier-reihe-in-london-fort-66baf6571b32861f6ad546b0
image_6_6.jpg,Three monkeys dangle from this bridge,Banksy continues mysterious animal series in London,https://www.bild.de/news/ausland/banksy-setzt-geheimnisvolle-tier-reihe-in-london-fort-66baf6571b32861f6ad546b0
image_7_1.jpg,CDU SPD and Co. associate 16 to 24 year olds with the term incompetence – and are looking for alternatives,New study shows: Generation Z votes for the AfD out of frustration,https://www.bild.de/leben-wissen/neue-studie-zeigt-generation-z-waehlt-die-afd-aus-frust-66a0eed8964fb2199b75affd
image_8_1.jpg,No longer part of a Disney attraction after more than 50 years: “Liver Lips McGrowl” has been retired,Disneyland: Disney sorts out bears after more than 50 years,https://www.bild.de/leben-wissen/kultur/disneyland-disney-sortiert-baeren-nach-mehr-als-50-jahren-aus-669a04d527fe34048f5fd8d4
image_9_1.jpg,She uncovered the secrets of nuclear fission: the brilliant physicist Lise Meitner at the age of 84,SHE made Oppenheimer’s work possible,https://www.bild.de/lifestyle/kultur/futtern/oppenheimer-film-ohne-sie-lise-meitner-war-die-mutter-der-kernkraft-87443382.bild.html
image_10_1.jpg,The auction house Ketterer in Munich auctioned the painting “Dance in the Variety Show” from 1911 by Ernst Ludwig Kirchner on Friday,Auction in Munich: Paintings believed lost sold for 15 million euros,https://www.bild.de/regional/muenchen/auktion-in-muenchen-verschollen-geglaubte-gemaelde-fuer-15-mio-euro-versteigert-6663464ff2bbf90e361d13ed
image_10_2.jpg,Ernst Ludwig Kirchner expressed his fascination for dance with “Dance in Varieté”,Auction in Munich: Paintings believed lost sold for 15 million euros,https://www.bild.de/regional/muenchen/auktion-in-muenchen-verschollen-geglaubte-gemaelde-fuer-15-mio-euro-versteigert-6663464ff2bbf90e361d13ed
image_10_3.jpg,"Ernst Ludwig Kirchner in his studio in Berlin. Kirchner was a co-founder of the artists' association ""Die Brücke"" in Dresden in 1905",Auction in Munich: Paintings believed lost sold for 15 million euros,https://www.bild.de/regional/muenchen/auktion-in-muenchen-verschollen-geglaubte-gemaelde-fuer-15-mio-euro-versteigert-6663464ff2bbf90e361d13ed
image_10_4.jpg,Two employees of the auction house hang the “Spanish Dancer” by Alexej von Jawlensky,Auction in Munich: Paintings believed lost sold for 15 million euros,https://www.bild.de/regional/muenchen/auktion-in-muenchen-verschollen-geglaubte-gemaelde-fuer-15-mio-euro-versteigert-6663464ff2bbf90e361d13ed
