image number,alt,article_heading,article_url
image_1_1.jpg,Former First Lady Melania Trump publishes her memoirs and triggers a new debate about abortion rights in the finale of the election campaign,US election campaign: Melania against Trump's abortion policy,https://www.bild.de/politik/ausland-und-internationales/us-wahlkampf-melania-gegen-trumps-abtreibungspolitik-66fff80a3007346d11fcfee6
image_1_2.jpg,The book cover image published by Skyhorse Publishing shows “Melania” the memoirs of Melania Trump,US election campaign: Melania against Trump's abortion policy,https://www.bild.de/politik/ausland-und-internationales/us-wahlkampf-melania-gegen-trumps-abtreibungspolitik-66fff80a3007346d11fcfee6
image_1_3.jpg,Former US President Donald Trump participates in a town hall moderated by Fox News host Sean Hannity at the New Holland Arena in Harrisburg Pennsylvania,US election campaign: Melania against Trump's abortion policy,https://www.bild.de/politik/ausland-und-internationales/us-wahlkampf-melania-gegen-trumps-abtreibungspolitik-66fff80a3007346d11fcfee6
image_2_1.jpg,Members of a Maronite Christian community at a service in St. George's Church in Qlaiaa (southern Lebanon). The priest had asked people to stay put after the Israeli Defense Forces called for the evacuation of the village,Israel News: Iran launches missile attack,https://www.bild.de/politik/ausland/news-ausland/palaestinenser-terror-in-der-nacht-raketen-beschuss-auf-israel-85661094.bild.html
image_3_1.jpg,Trump attended a town hall meeting,Possible counterattack: Donald Trump calls for Israel to attack Iran's nuclear facilities!,https://www.bild.de/politik/ausland-und-internationales/moeglicher-gegenschlag-donald-trump-fordert-israel-angriff-auf-irans-atom-anlagen-67007ca8d8476a4127f47032
image_3_2.jpg,Biden at a press conference on Friday in the White House,Possible counterattack: Donald Trump calls for Israel to attack Iran's nuclear facilities!,https://www.bild.de/politik/ausland-und-internationales/moeglicher-gegenschlag-donald-trump-fordert-israel-angriff-auf-irans-atom-anlagen-67007ca8d8476a4127f47032
image_4_1.jpg,One of Iran's uranium enrichment plants: Here in Isfahan,How dangerous would an attack on the mullahs’ nuclear facilities be?,https://www.bild.de/politik/ausland-und-internationales/wie-gefaehrlich-waere-ein-angriff-auf-die-atomanlagen-der-mullahs-66fe49bafc1bc97658be92d7
image_4_2.jpg,Military expert Carlo Masala (56) warns of possible dangers in the event of an attack on the nuclear facilities,How dangerous would an attack on the mullahs’ nuclear facilities be?,https://www.bild.de/politik/ausland-und-internationales/wie-gefaehrlich-waere-ein-angriff-auf-die-atomanlagen-der-mullahs-66fe49bafc1bc97658be92d7
image_4_3.jpg,US President Joe Biden (81) would not support an Israeli retaliatory strike against Iran's nuclear program,How dangerous would an attack on the mullahs’ nuclear facilities be?,https://www.bild.de/politik/ausland-und-internationales/wie-gefaehrlich-waere-ein-angriff-auf-die-atomanlagen-der-mullahs-66fe49bafc1bc97658be92d7
image_5_1.jpg,To be the next head of Hezbollah: Hashim Safi al-Din (60),Bombs in Beirut: Israel hunts down the next top terrorist,https://www.bild.de/politik/ausland-und-internationales/bomben-in-beirut-israel-macht-jagd-auf-den-naechsten-top-terroristen-66ff8801fc1bc97658be9bd1
image_5_2.jpg,More violent explosions in Beirut the attacks were probably aimed at another top terrorist,Bombs in Beirut: Israel hunts down the next top terrorist,https://www.bild.de/politik/ausland-und-internationales/bomben-in-beirut-israel-macht-jagd-auf-den-naechsten-top-terroristen-66ff8801fc1bc97658be9bd1
image_5_3.jpg,The Israelis recently eliminated him: Hezbollah boss Hassan Nasrallah († 64),Bombs in Beirut: Israel hunts down the next top terrorist,https://www.bild.de/politik/ausland-und-internationales/bomben-in-beirut-israel-macht-jagd-auf-den-naechsten-top-terroristen-66ff8801fc1bc97658be9bd1
image_6_1.jpg,Remains of a ballistic missile – presumably an Iranian Fattah-1 – fired by the mullah regime towards Israel,Mullah regime is nervous: Why Iran is now bombing Israel,https://www.bild.de/politik/ausland-und-internationales/mullah-regime-ist-nervoes-warum-der-iran-jetzt-israel-bombardierte-66fd49cda4747310c110b645
image_7_1.jpg,Kim Jong-un visits the training base of the North Korean army's special forces,"Nuclear threat from North Korea: Kim Jong-un would use atomic bomb ""without hesitation""",https://www.bild.de/politik/ausland-und-internationales/nuklear-drohung-aus-nordkorea-kim-jong-un-wuerde-ohne-zoegern-atombombe-einsetzen-66ff2a6ad334b272aafaf7c0
image_8_1.jpg,In 2019 Chancellor Merkel met Iranian President Hassan Ruhani at the UN in New York and promised him an end to the sanctions,Failed Iran policy: How Merkel Steinmeier and Co. helped the Mullahs,https://www.bild.de/politik/ausland-und-internationales/gescheiterte-iran-politik-wie-merkel-steinmeier-und-co-den-mullahs-halfen-66fe57f1c144361075978b03
image_8_2.jpg,They got on excellently: Frank-Walter Steinmeier then Foreign Minister and now Federal President during nuclear negotiations with his then counterpart Javad Zarif in Lausanne (Switzerland),Failed Iran policy: How Merkel Steinmeier and Co. helped the Mullahs,https://www.bild.de/politik/ausland-und-internationales/gescheiterte-iran-politik-wie-merkel-steinmeier-und-co-den-mullahs-halfen-66fe57f1c144361075978b03
image_8_3.jpg,Ayatollah Ali Rafsanjani a top henchman of the regime also gave Steinmeier a very warm welcome in 2015,Failed Iran policy: How Merkel Steinmeier and Co. helped the Mullahs,https://www.bild.de/politik/ausland-und-internationales/gescheiterte-iran-politik-wie-merkel-steinmeier-und-co-den-mullahs-halfen-66fe57f1c144361075978b03
image_9_1.jpg,Kiss from Donald Trump (l.) for Mike Pence? That was once,“So what?” – Trump’s heartless reaction when Vice President Pence feared for his life,https://www.bild.de/politik/ausland-und-internationales/na-und-trumps-herzlos-reaktion-als-vize-pence-um-sein-leben-bangte-66fdd6b8d334b272aafaef44
image_9_2.jpg,Today they would probably no longer run as a team for the Republicans: Donald Trump (l.) and Mike Pence,“So what?” – Trump’s heartless reaction when Vice President Pence feared for his life,https://www.bild.de/politik/ausland-und-internationales/na-und-trumps-herzlos-reaktion-als-vize-pence-um-sein-leben-bangte-66fdd6b8d334b272aafaef44
image_10_1.jpg,"""Second Gentleman"" Doug Emhoff claps during Democratic presidential candidate Kamala Harris' speech at the Congressional Black Caucus Foundation's Phoenix Awards Dinner",Second Gentleman Doug Emhoff: Did Kamala Harris’ husband hit his ex-girlfriend?,https://www.bild.de/politik/ausland-und-internationales/second-gentleman-doug-emhoff-schlug-kamala-harris-mann-seine-ex-freundin-66fdb29ba73bbb41e346b644
image_10_2.jpg,"US Vice President Kamala Harris (L) and ""Second Gentleman"" Doug Emhoff disembark from Air Force Two upon arrival at La Guardia Airport in New York City",Second Gentleman Doug Emhoff: Did Kamala Harris’ husband hit his ex-girlfriend?,https://www.bild.de/politik/ausland-und-internationales/second-gentleman-doug-emhoff-schlug-kamala-harris-mann-seine-ex-freundin-66fdb29ba73bbb41e346b644
