image number,alt,article_heading
image_1_1.jpg,Video shows aftermath of plane collision at Atlanta airport,Video shows Delta plane's tail severed after collision while taxiing at Atlanta airport
image_1_2.jpg,Delta Endeavor planes collide in Atlanta,Video shows Delta plane's tail severed after collision while taxiing at Atlanta airport
image_1_3.jpg,Delta Airlines collision ,Video shows Delta plane's tail severed after collision while taxiing at Atlanta airport
image_1_4.jpg,Delta Endeavor Air planes collide on Atlanta tarmac ,Video shows Delta plane's tail severed after collision while taxiing at Atlanta airport
image_2_2.jpg,FILE - El Salvador's National Police Director Mauricio Arriaza salutes during the launch ceremony of the new border patrol on the border with Guatemala in La Hachadura El Salvador Sept. 12 2019. El Salvador's military says Arriaza other high-ranking police officials and a fugitive banker were among nine people killed in a military helicopter crash late Sept. 8 2024.,National police director fugitive banker among 9 dead in El Salvador helicopter crash
image_3_1.jpg,Iran has the United States in their ‘crosshairs’: Dan Hoffman,Iran threatens 'nightmare' for Israel as UN watchdog warns Tehran nuclear programs runs unchecked
image_3_2.jpg,Hossein Salami Iran,Iran threatens 'nightmare' for Israel as UN watchdog warns Tehran nuclear programs runs unchecked
image_3_3.jpg,Israeli strike explosion,Iran threatens 'nightmare' for Israel as UN watchdog warns Tehran nuclear programs runs unchecked
image_3_4.jpg,Ayatollah Ali Khamenei,Iran threatens 'nightmare' for Israel as UN watchdog warns Tehran nuclear programs runs unchecked
image_3_5.jpg,Hagari,Iran threatens 'nightmare' for Israel as UN watchdog warns Tehran nuclear programs runs unchecked
image_4_1.jpg,The Swift Pod is an autonomous vehicle that's part car part hotel room,Sleep your way to your destination with this futuristic self-driving sleep pod
image_4_2.jpg,sleep pod 1,Sleep your way to your destination with this futuristic self-driving sleep pod
image_4_3.jpg,sleep pod 2,Sleep your way to your destination with this futuristic self-driving sleep pod
image_4_4.jpg,sleep pod 3,Sleep your way to your destination with this futuristic self-driving sleep pod
image_4_5.jpg,sleep pod 4,Sleep your way to your destination with this futuristic self-driving sleep pod
image_4_6.jpg,sleep pod 5,Sleep your way to your destination with this futuristic self-driving sleep pod
image_5_1.jpg,Gen. Michael Langley AFRICOM commander sits down with Fox News Digital to discuss terrorism Niger Russia China and Iran in Africa,Kenya school dormitory fire kills 17 students seriously burns 13 death toll may rise
image_5_2.jpg,A woman cries following a fire in a school dormitory in Kenya that killed 17 students and seriously burned 13 others.,Kenya school dormitory fire kills 17 students seriously burns 13 death toll may rise
image_6_1.jpg,Biden admin must inflict a ‘harsh containment policy’ with Iran: Mike Rogers,Experts warn Iran could have a nuclear bomb before the next president takes office
image_6_2.jpg,Queering nuclear weapons Biden-harris sneha nair,Experts warn Iran could have a nuclear bomb before the next president takes office
image_6_3.jpg,Iran protest executions,Experts warn Iran could have a nuclear bomb before the next president takes office
image_6_4.jpg,Bushehr Nuclear plant,Experts warn Iran could have a nuclear bomb before the next president takes office
image_7_1.jpg,Turn any bike into an e-bike in seconds with this nifty gadget,Turn any bike into an e-bike in seconds with this nifty gadget
image_7_2.jpg,e-biked 1,Turn any bike into an e-bike in seconds with this nifty gadget
image_7_3.jpg,e-bike 2,Turn any bike into an e-bike in seconds with this nifty gadget
image_7_4.jpg,e-bike 3,Turn any bike into an e-bike in seconds with this nifty gadget
image_7_5.jpg,e-bike 4,Turn any bike into an e-bike in seconds with this nifty gadget
image_7_6.jpg,e-bike 5,Turn any bike into an e-bike in seconds with this nifty gadget
image_8_1.jpg,The privacy predicament of NYC’s Traffic Cam Photobooth site,The privacy predicament of NYC’s Traffic Cam Photobooth site
image_8_2.jpg,NYC photobooth 1,The privacy predicament of NYC’s Traffic Cam Photobooth site
image_8_3.jpg,nyc photo booth 2,The privacy predicament of NYC’s Traffic Cam Photobooth site
image_8_4.jpg,nyc photo booth 3,The privacy predicament of NYC’s Traffic Cam Photobooth site
image_8_5.jpg,nyc photo booth 4,The privacy predicament of NYC’s Traffic Cam Photobooth site
image_8_6.jpg,NYC photo booth 5,The privacy predicament of NYC’s Traffic Cam Photobooth site
image_8_7.jpg,NYC photo booth 6,The privacy predicament of NYC’s Traffic Cam Photobooth site
image_9_2.jpg,Grenfell Tower fire,Government regulatory failures made London's Grenfell Tower a 'death trap' report says
image_10_1.jpg,Here's what Russia and North Korea each get out of new pact: Lt. Gen. Keith Kellogg,North Korea’s Kim Jong Un reportedly ordered dozens of officials executed after deadly floods
image_10_2.jpg,Kim Jong Un frowning,North Korea’s Kim Jong Un reportedly ordered dozens of officials executed after deadly floods
image_10_3.jpg,Kim Jong-un speaking,North Korea’s Kim Jong Un reportedly ordered dozens of officials executed after deadly floods
