image number,alt,article_heading
image_1_1.jpg,Students struggling more in school than before the coronavirus pandemic survey finds,COVID pandemic restrictions had 'alarming' impact on teenagers’ brains new study finds
image_1_2.jpg,Teens in masks,COVID pandemic restrictions had 'alarming' impact on teenagers’ brains new study finds
image_1_3.jpg,Girl mask homework,COVID pandemic restrictions had 'alarming' impact on teenagers’ brains new study finds
image_1_4.jpg,Teen boy mask,COVID pandemic restrictions had 'alarming' impact on teenagers’ brains new study finds
image_1_5.jpg,Brain concept,COVID pandemic restrictions had 'alarming' impact on teenagers’ brains new study finds
image_1_6.jpg,Parent with teen,COVID pandemic restrictions had 'alarming' impact on teenagers’ brains new study finds
image_2_1.jpg,Marineland a Florida theme park has 'constantly adapted' to tourism changes since 1938,Florida's forgotten theme park from 1938 welcomes tourists despite popular competition
image_2_2.jpg,Marineland opened as Marine Studios in 1938 in Florida,Florida's forgotten theme park from 1938 welcomes tourists despite popular competition
image_2_3.jpg,Marineland of Florida has been open for business since 1938.,Florida's forgotten theme park from 1938 welcomes tourists despite popular competition
image_2_4.jpg,An historical marker in Florida shows that Marineland which opened as Marine Studios in 1938 is the world's first oceanarium.,Florida's forgotten theme park from 1938 welcomes tourists despite popular competition
image_2_5.jpg,This is an old aerial view of what was then Marine Studios in the town of Marineland Florida.,Florida's forgotten theme park from 1938 welcomes tourists despite popular competition
image_2_6.jpg,Marineland of Florida has been educating and entertaining visitors for 86 years.,Florida's forgotten theme park from 1938 welcomes tourists despite popular competition
image_3_1.jpg,Clint Eastwood's daughter Francesca shares the ‘great life advice’ her father gave her,Clint Eastwood’s daughter turned family tradition into ‘Wheel of Fortune' career
image_3_2.jpg,Kimber Lynn Eastwood and dad Clint Eastwood,Clint Eastwood’s daughter turned family tradition into ‘Wheel of Fortune' career
image_3_3.jpg,Clint Eastwood in a tuxedo holding his Oscars for "Million Dollar Baby",Clint Eastwood’s daughter turned family tradition into ‘Wheel of Fortune' career
image_3_4.jpg,Ryan Seacrest smiles for a photo with Vanna White and Pat Sajak on the set of 'Wheel of Fortune',Clint Eastwood’s daughter turned family tradition into ‘Wheel of Fortune' career
