image number,alt,article_heading
image_12.jpg,Scottie Scheffler shakes hands with Rory McIlroy ,Scottie Scheffler and Rory McIlroy take on Bryson DeChambeau and Brooks Koepka in PGA Tour-LIV Golf faceoff
image_13.jpg,Bryson DeChambeau and Brooks Koepka smile,Scottie Scheffler and Rory McIlroy take on Bryson DeChambeau and Brooks Koepka in PGA Tour-LIV Golf faceoff
image_14.jpg,Scottie Scheffler,Scottie Scheffler and Rory McIlroy take on Bryson DeChambeau and Brooks Koepka in PGA Tour-LIV Golf faceoff
image_22.jpg,Scottie Scheffler,Scottie Scheffler wins TOUR Championship capping off record-breaking 2024 season
image_23.jpg,Scottie Scheffler gets the green jacket,Scottie Scheffler wins TOUR Championship capping off record-breaking 2024 season
image_24.jpg,Scottie Scheffler tee shot,Scottie Scheffler wins TOUR Championship capping off record-breaking 2024 season
image_32.jpg,Jon Rahm looks on course,Jon Rahm says he does not have buyer's remorse about move to LIV nixes rumors he's upset in league
image_33.jpg,Jon Rahm reacts to bad shot,Jon Rahm says he does not have buyer's remorse about move to LIV nixes rumors he's upset in league
image_34.jpg,Jon Rahm swings,Jon Rahm says he does not have buyer's remorse about move to LIV nixes rumors he's upset in league
image_42.jpg,Donald Trump in Bedminster,Donald Trump rips Joe Biden’s golf game in new YouTube video: 'You're not a 60' handicap
image_43.jpg,Former President Donald Trump greets fans,Donald Trump rips Joe Biden’s golf game in new YouTube video: 'You're not a 60' handicap
image_44.jpg,Trump National Golf Club,Donald Trump rips Joe Biden’s golf game in new YouTube video: 'You're not a 60' handicap
image_52.jpg,Paige Spiranac at Fanatics Fest,Paige Spiranac attempts to downplay chances of winning Creators Classic
image_53.jpg,Paige Spiranac in July 2023,Paige Spiranac attempts to downplay chances of winning Creators Classic
image_54.jpg,Paige Spiranac in July 2023,Paige Spiranac attempts to downplay chances of winning Creators Classic
image_62.jpg,Jon Rahm and Alcaraz,Jon Rahm praises fellow Spaniard Carlos Alcaraz during US Open: 'He's a demigod'
image_63.jpg,Jon Rahm looks on course,Jon Rahm praises fellow Spaniard Carlos Alcaraz during US Open: 'He's a demigod'
image_64.jpg,Carlos Alcaraz and Novak Djokovic,Jon Rahm praises fellow Spaniard Carlos Alcaraz during US Open: 'He's a demigod'
image_71.jpg,Transgender golfer Hailey Davidson vies for LPGA Tour card,Transgender golfer Hailey Davidson fires back at 'massive lie' as hopes of earning LPGA Tour card increase
image_72.jpg,Hailey Davidson swings,Transgender golfer Hailey Davidson fires back at 'massive lie' as hopes of earning LPGA Tour card increase
image_73.jpg,Hailey Davidson addresses ball,Transgender golfer Hailey Davidson fires back at 'massive lie' as hopes of earning LPGA Tour card increase
image_82.jpg,Matt Fitzpatrick admires golf shot,Matt Fitzpatrick unloads on PGA Tour officials who didn't let him switch out cracked driver: 'Absolute joke'
image_83.jpg,Matt Fitzpatrick golf shot,Matt Fitzpatrick unloads on PGA Tour officials who didn't let him switch out cracked driver: 'Absolute joke'
image_84.jpg,Matt Fitzpatrick looks on course,Matt Fitzpatrick unloads on PGA Tour officials who didn't let him switch out cracked driver: 'Absolute joke'
image_91.jpg,Transgender golfer Hailey Davidson vies for LPGA Tour card,Former LPGA Tour golfer Amy Olson calls trans player's Q School participation 'unfair'
image_92.jpg,Amy Olson at the US Women's Open,Former LPGA Tour golfer Amy Olson calls trans player's Q School participation 'unfair'
image_93.jpg,Amy Olson at the 18th hole,Former LPGA Tour golfer Amy Olson calls trans player's Q School participation 'unfair'
image_94.jpg,Hailey Davidson addresses ball,Former LPGA Tour golfer Amy Olson calls trans player's Q School participation 'unfair'
image_101.jpg,Transgender golfer Hailey Davidson vies for LPGA Tour card,Transgender golfer Hailey Davidson makes cut for next Q School stage vies for LPGA Tour card
image_102.jpg,Hailey Davidson admires shot,Transgender golfer Hailey Davidson makes cut for next Q School stage vies for LPGA Tour card
image_103.jpg,Hailey Davidson addresses ball,Transgender golfer Hailey Davidson makes cut for next Q School stage vies for LPGA Tour card
image_104.jpg,LPGA Q School flag,Transgender golfer Hailey Davidson makes cut for next Q School stage vies for LPGA Tour card
