image number,alt,article_heading
image_11.jpg,Joan Rivers on the red carpet,10 years after Joan Rivers’ death the red carpet she pioneered is a pitiful mess
image_12.jpg,Joan Rivers and her Fashion Week cohosts.,10 years after Joan Rivers’ death the red carpet she pioneered is a pitiful mess
image_13.jpg,Joan Rivers interviewing Halle Berry at the Golden Globes.,10 years after Joan Rivers’ death the red carpet she pioneered is a pitiful mess
image_14.jpg,Joan and Melissa Rivers.,10 years after Joan Rivers’ death the red carpet she pioneered is a pitiful mess
image_21.jpg,Steve Martin at the 82nd Academy Awards.,Steve Martin refuses to host the Oscars for a fourth time: ‘They don’t pay’
image_22.jpg,Steve Martin pictured with large Oscar statues.,Steve Martin refuses to host the Oscars for a fourth time: ‘They don’t pay’
image_23.jpg,Steve Martin gives his opening monologue at the 73rd annual Academy Awards Sunday March 25 2001.,Steve Martin refuses to host the Oscars for a fourth time: ‘They don’t pay’
image_24.jpg,Steve Martin delivers his monologue to open for the 75th annual Academy Awards telecast Sunday March 23 2003.,Steve Martin refuses to host the Oscars for a fourth time: ‘They don’t pay’
image_25.jpg,Steve Martin delivers his monologue to open for the 75th annual Academy Awards telecast Sunday March 23 2003.,Steve Martin refuses to host the Oscars for a fourth time: ‘They don’t pay’
image_31.jpg,Moira (Catherine O'Hara) Alexis (Annie Murphy) Johnny (Eugene Levy) David (Dan Levy) standing in a room smiling. ,Eugene and Dan Levy will officially host the 2024 Emmys: ‘We are thrilled’
image_32.jpg,A lot of Emmys. ,Eugene and Dan Levy will officially host the 2024 Emmys: ‘We are thrilled’
image_33.jpg, Television Academy Chair Cris Abrego said,Eugene and Dan Levy will officially host the 2024 Emmys: ‘We are thrilled’
image_34.jpg,Dan and Eugene Levy ,Eugene and Dan Levy will officially host the 2024 Emmys: ‘We are thrilled’
image_35.jpg,Dan and Eugene Levy. ,Eugene and Dan Levy will officially host the 2024 Emmys: ‘We are thrilled’
image_36.jpg,Dan and Eugene Levy smiling together. ,Eugene and Dan Levy will officially host the 2024 Emmys: ‘We are thrilled’
image_41.jpg,Jimmy Kimmel smiling. ,Jimmy Kimmel reveals why he turned down hosting the 2025 Oscars: ‘It was just too much’
image_42.jpg,Jimmy Kimmel looking at a tablet. ,Jimmy Kimmel reveals why he turned down hosting the 2025 Oscars: ‘It was just too much’
image_43.jpg,Robert Downey Jr. with Jimmy Kimmel at the 2024 Oscars. ,Jimmy Kimmel reveals why he turned down hosting the 2025 Oscars: ‘It was just too much’
image_44.jpg,Jimmy Kimmel and an apparently nude John Cena at the 2024 Oscars.,Jimmy Kimmel reveals why he turned down hosting the 2025 Oscars: ‘It was just too much’
image_45.jpg,Guillermo Rodriguez at the 2024 Oscars. ,Jimmy Kimmel reveals why he turned down hosting the 2025 Oscars: ‘It was just too much’
image_46.jpg,Jimmy Kimmel. ,Jimmy Kimmel reveals why he turned down hosting the 2025 Oscars: ‘It was just too much’
