image number,alt,article_heading
image_11.jpg,Kevin Costner and Susan Sarandon together in Costner's Instagram post. ,Kevin Costner and Susan Sarandon have ‘Bull Durham’ reunion: ‘Catching up with an old friend’
image_12.jpg,Susan Sarandon and Kevin Costner in "Bull Durham." ,Kevin Costner and Susan Sarandon have ‘Bull Durham’ reunion: ‘Catching up with an old friend’
image_13.jpg,Kevin Costner and Susan Sarandon in "Bull Durham." ,Kevin Costner and Susan Sarandon have ‘Bull Durham’ reunion: ‘Catching up with an old friend’
image_14.jpg,Kevin Costner with his arm around Susan Sarandon smiling and waving.,Kevin Costner and Susan Sarandon have ‘Bull Durham’ reunion: ‘Catching up with an old friend’
image_15.jpg,Kevin Costner and Susan Sarandon in "Bull Durham" in 1988. ,Kevin Costner and Susan Sarandon have ‘Bull Durham’ reunion: ‘Catching up with an old friend’
image_16.jpg,Susan Sarandon and Kevin Costner at the Venice film festival. ,Kevin Costner and Susan Sarandon have ‘Bull Durham’ reunion: ‘Catching up with an old friend’
image_17.jpg,Susan Sarandon talking. ,Kevin Costner and Susan Sarandon have ‘Bull Durham’ reunion: ‘Catching up with an old friend’
image_18.jpg,Susan Sarandon and Kevin Costner in "Bull Durham." ,Kevin Costner and Susan Sarandon have ‘Bull Durham’ reunion: ‘Catching up with an old friend’
image_19.jpg,Kevin Costner and  Susan Sarandon on the "Bull Durham" poster in 1988. ,Kevin Costner and Susan Sarandon have ‘Bull Durham’ reunion: ‘Catching up with an old friend’
image_110.jpg,Kevin Costner and Susan Sarandon at The 81st Venice International Film Festival.,Kevin Costner and Susan Sarandon have ‘Bull Durham’ reunion: ‘Catching up with an old friend’
image_111.jpg,Kevin Costner speaking at the Venice Film Festival. ,Kevin Costner and Susan Sarandon have ‘Bull Durham’ reunion: ‘Catching up with an old friend’
image_21.jpg,Hunter King and Tyler Hynes in “Holiday Touchdown: A Chiefs Love Story" smiling wearing red.,Travis Kelce’s mom Donna wears his No. 87 jersey in Hallmark’s ‘Holiday Touchdown: A Chiefs Love Story’
image_22.jpg,Travis Kelce kisses Taylor Swift after winning Super Bowl LVIII. ,Travis Kelce’s mom Donna wears his No. 87 jersey in Hallmark’s ‘Holiday Touchdown: A Chiefs Love Story’
image_23.jpg,Travis Kelce with Donna Kelce after Super Bowl LVII. ,Travis Kelce’s mom Donna wears his No. 87 jersey in Hallmark’s ‘Holiday Touchdown: A Chiefs Love Story’
