image number,alt,article_heading
image_11.jpg,kate beckinsale former brentwood home,Kate Beckinsale’s former Los Angeles home lists for $4.2M
image_12.jpg,kate beckinsale former brentwood home,Kate Beckinsale’s former Los Angeles home lists for $4.2M
image_13.jpg,kate beckinsale former brentwood home,Kate Beckinsale’s former Los Angeles home lists for $4.2M
image_14.jpg,kate beckinsale former brentwood home,Kate Beckinsale’s former Los Angeles home lists for $4.2M
image_15.jpg,kate beckinsale former brentwood home,Kate Beckinsale’s former Los Angeles home lists for $4.2M
image_16.jpg,kate beckinsale former brentwood home,Kate Beckinsale’s former Los Angeles home lists for $4.2M
image_17.jpg,kate beckinsale former brentwood home,Kate Beckinsale’s former Los Angeles home lists for $4.2M
image_18.jpg,kate beckinsale former brentwood home,Kate Beckinsale’s former Los Angeles home lists for $4.2M
image_19.jpg,kate beckinsale former brentwood home,Kate Beckinsale’s former Los Angeles home lists for $4.2M
image_110.jpg,kate beckinsale former brentwood home,Kate Beckinsale’s former Los Angeles home lists for $4.2M
image_21.jpg,Built-ins and a fireplace adorn this library.,Roy Lichtenstein’s longtime Hamptons home lists for the first time in decades — with his studio still on the grounds
image_22.jpg,There's also space for outdoor dining.,Roy Lichtenstein’s longtime Hamptons home lists for the first time in decades — with his studio still on the grounds
image_23.jpg,The dining room.,Roy Lichtenstein’s longtime Hamptons home lists for the first time in decades — with his studio still on the grounds
image_24.jpg,The main house was once a carriage house -- that subsequent years saw additions to the footprint.,Roy Lichtenstein’s longtime Hamptons home lists for the first time in decades — with his studio still on the grounds
image_25.jpg,Another bedroom inside.,Roy Lichtenstein’s longtime Hamptons home lists for the first time in decades — with his studio still on the grounds
image_26.jpg,Dorothy (right) passed away in July.,Roy Lichtenstein’s longtime Hamptons home lists for the first time in decades — with his studio still on the grounds
image_27.jpg,The Lichtensteins bought the home in 1970.,Roy Lichtenstein’s longtime Hamptons home lists for the first time in decades — with his studio still on the grounds
image_28.jpg,The bedrooms are spacious -- with this one offering access to the outdoors.,Roy Lichtenstein’s longtime Hamptons home lists for the first time in decades — with his studio still on the grounds
image_29.jpg,The property is on the ocean side of Gin Lane.,Roy Lichtenstein’s longtime Hamptons home lists for the first time in decades — with his studio still on the grounds
image_210.jpg,Lichtenstein has long been known for his works of pop art.,Roy Lichtenstein’s longtime Hamptons home lists for the first time in decades — with his studio still on the grounds
