article_heading,img_src,altText,article_url
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
"Trump Rally in Michigan Dominated by More False Statements","https://static01.nyt.com/images/2024/10/03/multimedia/03election-live-header-5pm-wtlj/03election-live-header-5pm-wtlj-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Donald Trump stands straight, wearing a blue suit, white shirt and red tie. A crowd is behind him.","https://www.nytimes.com/2024/10/03/us/politics/trump-rally-michigan.html"
