article_heading,img_src,altText,article_url
"Bucking Trends, an Opera Company in Atlanta Is Growing","https://static01.nyt.com/images/2024/10/04/multimedia/04atlanta-opera-vpkf/04atlanta-opera-vpkf-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Tomer Zvulun sits and rests his chin in his hand.","https://www.nytimes.com/2024/10/04/arts/music/atlanta-opera-tomer-zvulun.html"
"Bucking Trends, an Opera Company in Atlanta Is Growing","https://static01.nyt.com/images/2024/10/04/multimedia/04atlanta-opera-01-wkqt/04atlanta-opera-01-wkqt-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A group of actors onstage.","https://www.nytimes.com/2024/10/04/arts/music/atlanta-opera-tomer-zvulun.html"
"Bucking Trends, an Opera Company in Atlanta Is Growing","https://static01.nyt.com/images/2024/10/04/multimedia/04atlanta-opera-02-wkqt/04atlanta-opera-02-wkqt-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A person cradles another onstage.","https://www.nytimes.com/2024/10/04/arts/music/atlanta-opera-tomer-zvulun.html"
"Bucking Trends, an Opera Company in Atlanta Is Growing","https://static01.nyt.com/images/2024/10/04/multimedia/04atlanta-opera-vpkf/04atlanta-opera-vpkf-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Tomer Zvulun sits and rests his chin in his hand.","https://www.nytimes.com/2024/10/04/arts/music/atlanta-opera-tomer-zvulun.html"
"Bucking Trends, an Opera Company in Atlanta Is Growing","https://static01.nyt.com/images/2024/10/04/multimedia/04atlanta-opera-01-wkqt/04atlanta-opera-01-wkqt-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A group of actors onstage.","https://www.nytimes.com/2024/10/04/arts/music/atlanta-opera-tomer-zvulun.html"
"Bucking Trends, an Opera Company in Atlanta Is Growing","https://static01.nyt.com/images/2024/10/04/multimedia/04atlanta-opera-02-wkqt/04atlanta-opera-02-wkqt-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A person cradles another onstage.","https://www.nytimes.com/2024/10/04/arts/music/atlanta-opera-tomer-zvulun.html"
"Bucking Trends, an Opera Company in Atlanta Is Growing","https://static01.nyt.com/images/2024/10/04/multimedia/04atlanta-opera-vpkf/04atlanta-opera-vpkf-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Tomer Zvulun sits and rests his chin in his hand.","https://www.nytimes.com/2024/10/04/arts/music/atlanta-opera-tomer-zvulun.html"
"Bucking Trends, an Opera Company in Atlanta Is Growing","https://static01.nyt.com/images/2024/10/04/multimedia/04atlanta-opera-01-wkqt/04atlanta-opera-01-wkqt-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A group of actors onstage.","https://www.nytimes.com/2024/10/04/arts/music/atlanta-opera-tomer-zvulun.html"
"Bucking Trends, an Opera Company in Atlanta Is Growing","https://static01.nyt.com/images/2024/10/04/multimedia/04atlanta-opera-02-wkqt/04atlanta-opera-02-wkqt-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A person cradles another onstage.","https://www.nytimes.com/2024/10/04/arts/music/atlanta-opera-tomer-zvulun.html"
"Garth Brooks Is Accused of Rape and Assault in Lawsuit","https://static01.nyt.com/images/2024/10/03/arts/Garth-Brooks/Garth-Brooks-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Garth Brooks wears a black, wide-brimmed hat. ","https://www.nytimes.com/2024/10/03/arts/music/garth-brooks-rape-assault-lawsuit.html"
"Garth Brooks Is Accused of Rape and Assault in Lawsuit","https://static01.nyt.com/images/2024/10/03/arts/Garth-Brooks/Garth-Brooks-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Garth Brooks wears a black, wide-brimmed hat. ","https://www.nytimes.com/2024/10/03/arts/music/garth-brooks-rape-assault-lawsuit.html"
