article_heading,img_src,altText,article_url
"The Food of Space Travel Could Be Based on Rocks","https://static01.nyt.com/images/2024/10/08/multimedia/00sci-asteroid-food-cpjh/00sci-asteroid-food-cpjh-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A close-up, top-down view of a triangular tray with rulers printed on its edges for scale containing a mess of dark gray dust and small rocks from an asteroid.","https://www.nytimes.com/2024/10/03/science/asteroids-food-space.html"
"The Food of Space Travel Could Be Based on Rocks","https://static01.nyt.com/images/2024/10/08/multimedia/00sci-asteroid-food-cpjh/00sci-asteroid-food-cpjh-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A close-up, top-down view of a triangular tray with rulers printed on its edges for scale containing a mess of dark gray dust and small rocks from an asteroid.","https://www.nytimes.com/2024/10/03/science/asteroids-food-space.html"
"The Food of Space Travel Could Be Based on Rocks","https://static01.nyt.com/images/2024/10/08/multimedia/00sci-asteroid-food-cpjh/00sci-asteroid-food-cpjh-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A close-up, top-down view of a triangular tray with rulers printed on its edges for scale containing a mess of dark gray dust and small rocks from an asteroid.","https://www.nytimes.com/2024/10/03/science/asteroids-food-space.html"
"The Sun Will Destroy the Earth One Day, Right? Maybe Not.","https://static01.nyt.com/images/2024/10/01/multimedia/26sci-survivor-01-tpcv/26sci-survivor-01-tpcv-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A small bright white orb illuminates a rocky gray planet in the foreground. The light from the orb makes the outer space background appear red.","https://www.nytimes.com/2024/09/26/science/planet-white-dwarf.html"
"The Sun Will Destroy the Earth One Day, Right? Maybe Not.","https://static01.nyt.com/images/2024/10/01/multimedia/26sci-survivor-01-tpcv/26sci-survivor-01-tpcv-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A small bright white orb illuminates a rocky gray planet in the foreground. The light from the orb makes the outer space background appear red.","https://www.nytimes.com/2024/09/26/science/planet-white-dwarf.html"
"The Sun Will Destroy the Earth One Day, Right? Maybe Not.","https://static01.nyt.com/images/2024/10/01/multimedia/26sci-survivor-01-tpcv/26sci-survivor-01-tpcv-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A small bright white orb illuminates a rocky gray planet in the foreground. The light from the orb makes the outer space background appear red.","https://www.nytimes.com/2024/09/26/science/planet-white-dwarf.html"
"The Sun Will Destroy the Earth One Day, Right? Maybe Not.","https://static01.nyt.com/images/2024/10/01/multimedia/26sci-survivor-01-tpcv/26sci-survivor-01-tpcv-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A small bright white orb illuminates a rocky gray planet in the foreground. The light from the orb makes the outer space background appear red.","https://www.nytimes.com/2024/09/26/science/planet-white-dwarf.html"
"SpaceX Launches Mission to Bring Back Starliner Astronauts","https://static01.nyt.com/images/2024/09/28/multimedia/28spacex-launch-lmpv/28spacex-launch-lmpv-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A SpaceX Falcon 9 rocket lifts off amid plumes of smoke.","https://www.nytimes.com/2024/09/28/science/spacex-launch-nasa.html"
"SpaceX Launches Mission to Bring Back Starliner Astronauts","https://static01.nyt.com/images/2024/09/28/multimedia/28spacex-launch-04-zvbp/28spacex-launch-04-zvbp-articleLarge.jpg?quality=75&auto=webp&disable=upscale","The Starliner capsule is seen against the blackness of space with its thrusters emitting small white jets in several directions. A sliver of the space station can be seen at upper right.","https://www.nytimes.com/2024/09/28/science/spacex-launch-nasa.html"
"SpaceX Launches Mission to Bring Back Starliner Astronauts","https://static01.nyt.com/images/2024/09/28/multimedia/28spacex-launch-02-zvbp/28spacex-launch-02-zvbp-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Butch Wilmore fiddling with several components of space pizza in zero gravity, with many other ingredients laid out on a table, and Suni Williams smiling nearby.","https://www.nytimes.com/2024/09/28/science/spacex-launch-nasa.html"
"SpaceX Launches Mission to Bring Back Starliner Astronauts","https://static01.nyt.com/images/2024/09/28/multimedia/28spacex-launch-03-zvbp/28spacex-launch-03-zvbp-articleLarge.jpg?quality=75&auto=webp&disable=upscale","An astronaut and a cosmonaut in blue jumpsuits walk on the tarmac of an airport at Cape Canaveral on a bright day.","https://www.nytimes.com/2024/09/28/science/spacex-launch-nasa.html"
"SpaceX Launches Mission to Bring Back Starliner Astronauts","https://static01.nyt.com/images/2024/09/28/multimedia/28spacex-launch-lmpv/28spacex-launch-lmpv-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A SpaceX Falcon 9 rocket lifts off amid plumes of smoke.","https://www.nytimes.com/2024/09/28/science/spacex-launch-nasa.html"
"SpaceX Launches Mission to Bring Back Starliner Astronauts","https://static01.nyt.com/images/2024/09/28/multimedia/28spacex-launch-04-zvbp/28spacex-launch-04-zvbp-articleLarge.jpg?quality=75&auto=webp&disable=upscale","The Starliner capsule is seen against the blackness of space with its thrusters emitting small white jets in several directions. A sliver of the space station can be seen at upper right.","https://www.nytimes.com/2024/09/28/science/spacex-launch-nasa.html"
"SpaceX Launches Mission to Bring Back Starliner Astronauts","https://static01.nyt.com/images/2024/09/28/multimedia/28spacex-launch-02-zvbp/28spacex-launch-02-zvbp-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Butch Wilmore fiddling with several components of space pizza in zero gravity, with many other ingredients laid out on a table, and Suni Williams smiling nearby.","https://www.nytimes.com/2024/09/28/science/spacex-launch-nasa.html"
"SpaceX Launches Mission to Bring Back Starliner Astronauts","https://static01.nyt.com/images/2024/09/28/multimedia/28spacex-launch-03-zvbp/28spacex-launch-03-zvbp-articleLarge.jpg?quality=75&auto=webp&disable=upscale","An astronaut and a cosmonaut in blue jumpsuits walk on the tarmac of an airport at Cape Canaveral on a bright day.","https://www.nytimes.com/2024/09/28/science/spacex-launch-nasa.html"
"SpaceX Launches Mission to Bring Back Starliner Astronauts","https://static01.nyt.com/images/2024/09/28/multimedia/28spacex-launch-lmpv/28spacex-launch-lmpv-articleLarge.jpg?quality=75&auto=webp&disable=upscale","A SpaceX Falcon 9 rocket lifts off amid plumes of smoke.","https://www.nytimes.com/2024/09/28/science/spacex-launch-nasa.html"
"SpaceX Launches Mission to Bring Back Starliner Astronauts","https://static01.nyt.com/images/2024/09/28/multimedia/28spacex-launch-04-zvbp/28spacex-launch-04-zvbp-articleLarge.jpg?quality=75&auto=webp&disable=upscale","The Starliner capsule is seen against the blackness of space with its thrusters emitting small white jets in several directions. A sliver of the space station can be seen at upper right.","https://www.nytimes.com/2024/09/28/science/spacex-launch-nasa.html"
"SpaceX Launches Mission to Bring Back Starliner Astronauts","https://static01.nyt.com/images/2024/09/28/multimedia/28spacex-launch-02-zvbp/28spacex-launch-02-zvbp-articleLarge.jpg?quality=75&auto=webp&disable=upscale","Butch Wilmore fiddling with several components of space pizza in zero gravity, with many other ingredients laid out on a table, and Suni Williams smiling nearby.","https://www.nytimes.com/2024/09/28/science/spacex-launch-nasa.html"
"SpaceX Launches Mission to Bring Back Starliner Astronauts","https://static01.nyt.com/images/2024/09/28/multimedia/28spacex-launch-03-zvbp/28spacex-launch-03-zvbp-articleLarge.jpg?quality=75&auto=webp&disable=upscale","An astronaut and a cosmonaut in blue jumpsuits walk on the tarmac of an airport at Cape Canaveral on a bright day.","https://www.nytimes.com/2024/09/28/science/spacex-launch-nasa.html"
"This Black Hole Has a Cosmic Wingspan","https://static01.nyt.com/images/2024/10/01/multimedia/00SCI-PROPHYRION-02-fctw/00SCI-PROPHYRION-02-fctw-articleLarge.jpg?quality=75&auto=webp&disable=upscale","An illustration shows a long fiery jet of material in a swirling dusty cloud of space with galaxies and stars.","https://www.nytimes.com/2024/09/25/science/space/black-hole-m87-energy.html"
"This Black Hole Has a Cosmic Wingspan","https://static01.nyt.com/images/2024/10/01/multimedia/00SCI-PROPHYRION-02-fctw/00SCI-PROPHYRION-02-fctw-articleLarge.jpg?quality=75&auto=webp&disable=upscale","An illustration shows a long fiery jet of material in a swirling dusty cloud of space with galaxies and stars.","https://www.nytimes.com/2024/09/25/science/space/black-hole-m87-energy.html"
"This Black Hole Has a Cosmic Wingspan","https://static01.nyt.com/images/2024/10/01/multimedia/00SCI-PROPHYRION-02-fctw/00SCI-PROPHYRION-02-fctw-articleLarge.jpg?quality=75&auto=webp&disable=upscale","An illustration shows a long fiery jet of material in a swirling dusty cloud of space with galaxies and stars.","https://www.nytimes.com/2024/09/25/science/space/black-hole-m87-energy.html"
"Earth Had a Ring 466 Million Years Ago, Study Says","https://static01.nyt.com/images/2024/09/20/science/20sci-earth-rings/20sci-earth-rings-articleLarge.jpg?quality=75&auto=webp&disable=upscale","An illustration of Earth surrounded by rocky fragments forming a ring against the blackness of space.","https://www.nytimes.com/2024/09/20/science/earth-rings-asteroids-ordovician.html"
