image number,alt,article_heading,article_url
image_1_1.jpg,Study Finds COVID-19 Affects Memory,COVID-19 Causes Changes in Memory Study Finds,https://doctor.rambler.ru/medscience/53528357-covid-19-vyzyvaet-izmeneniya-v-pamyati-pokazalo-issledovanie/
image_1_2.jpg,,COVID-19 Causes Changes in Memory Study Finds,https://doctor.rambler.ru/medscience/53528357-covid-19-vyzyvaet-izmeneniya-v-pamyati-pokazalo-issledovanie/
image_2_1.jpg,The Most Dangerous Smartphone Radiation: Why Blue Spectrum Is Harmful,The Most Dangerous Smartphone Radiation: Why Blue Spectrum Is Harmful,https://doctor.rambler.ru/medscience/53530458-samoe-opasnoe-izluchenie-smartfona-chem-vreden-siniy-spektr/
image_3_1.jpg,Scientists have found out which countries have the most people with myopia,Half of teenagers in Japan South Korea and Russia suffer from myopia,https://doctor.rambler.ru/medscience/53529834-polovina-podrostkov-v-yaponii-yuzhnoy-koree-i-rossii-stradaet-blizorukostyu/
image_4_1.jpg,Russian scientists have found a cheap way to determine the quality of milk,Russian scientists have found a cheap way to determine the quality of milk using cell analysis,https://doctor.rambler.ru/medscience/53529698-rossiyskie-uchenye-nashli-deshevyy-sposob-opredeleniya-kachestva-moloka-s-pomoschyu-kletochnogo-analiza/
image_5_1.jpg,Forensic expert explains how to determine if a deceased person was moved,Doctor Kulbitsky: by cadaveric spots it is possible to determine whether the corpse has been moved,https://doctor.rambler.ru/medscience/53529493-vrach-kulbitskiy-po-trupnym-pyatnam-mozhno-opredelit-peremeschalsya-li-trup/
image_6_1.jpg,How long does it take for the body of a deceased adult to cool down?,Doctor Kulbitsky: the corpse of an adult usually cools down by 1°C in one hour at 20°C,https://doctor.rambler.ru/medscience/53529476-vrach-kulbitskiy-trup-vzroslogo-obychno-ostyvaet-za-odin-chas-na-1-s-pri-20-s/
image_7_1.jpg,When the corpse's body turns green,Doctor Kulbitsky: cadaveric mold appears on the body on the second day after death,https://doctor.rambler.ru/medscience/53529475-vrach-kulbitskiy-trupnaya-plesen-na-tele-poyavlyaetsya-na-vtoroy-den-posle-smerti/
image_8_1.jpg,How long after death do flies lay eggs on the body?,Doctor Kulbitsky: Flies lay eggs on the body within 4-6 hours after death,https://doctor.rambler.ru/medscience/53529474-vrach-kulbitskiy-muhi-delayut-kladku-na-tele-v-techenie-4-6-chasov-posle-smerti/
image_9_1.jpg,Scientists have determined the age at which people most often gain excess weight,Scientists have determined the age at which people most often gain excess weight,https://doctor.rambler.ru/medscience/53528505-uchenye-ustanovili-vozrast-v-kotorom-lyudi-chasche-vsego-nabirayut-lishniy-ves/
image_10_1.jpg,Scientists have found new beneficial properties of currants,Sabah: Currants Improve Cardiovascular Health,https://doctor.rambler.ru/medscience/53528379-sabah-smorodina-uluchshaet-zdorove-serdechno-sosudistoy-sistemy/
