image number,alt,article_heading
image_1_1.jpg,"Ukraine-Russia War Today's News. Zelensky: ""Yes to Peace but We Will Not Give Up Land to Russia. We Will Bring the 'Victory Plan' to Ramstein""","Ukraine-Russia War Today's News. Zelensky: ""Yes to Peace but We Will Not Give Up Land to Russia. We Will Bring the 'Victory Plan' to Ramstein"""
image_2_1.jpg,,"Israel-Lebanon War Today's News. Netanyahu: ""Our Right to Respond to Iran and We Will."" Hezbollah Strikes Haifa Air Base. Saudi TV: ""Saffiedine Killed in Beirut"""
image_3_1.jpg,,Flood in Bosnia digging in the mud to find the missing: the country is destroyed
image_4_1.jpg,"UK Conservatives Against Starmer: ""He Wants to Abandon the Falkland Islands and Gibraltar""","UK Conservatives Against Starmer: ""He Wants to Abandon the Falkland Islands and Gibraltar"""
image_5_1.jpg,Police Forces in Haiti,Haiti massacre in Pont Sondé: the Gran Grif gang massacres civilians and films itself while killing
image_6_1.jpg,Kamala Harris and her father Donald neighbors but distant. “For her he was absent but not irrelevant”,Kamala Harris and her father Donald neighbors but distant. “For her he was absent but not irrelevant”
image_7_1.jpg,"USA one month before the vote Biden's warning: ""I'm not sure it will be peaceful""","USA one month before the vote Biden's warning: ""I'm not sure it will be peaceful"""
image_8_1.jpg,In the heart of Appalachia where the hills are the border of a drifting America,In the heart of Appalachia where the hills are the border of a drifting America
image_9_1.jpg,Tightening aid to Gaza less and less food and medicines arriving in the Strip,Tightening aid to Gaza less and less food and medicines arriving in the Strip
image_10_1.jpg,"Rome's famous kebab restaurant on the dispute between Germany and Türkiye: ""In Italy there is contamination everyone wants it in their own way""","Rome's famous kebab restaurant on the dispute between Germany and Türkiye: ""In Italy there is contamination everyone wants it in their own way"""
