image number,alt,article_heading,article_url
image_1_1.jpg,,"The media meeting of ""The Origin of Civilization - Exploration of Early Chinese Civilization"" was held at the Beijing Minsheng Art Museum",https://www.sohu.com/a/812509231_120005162?scm=10001.248_14-200000.0.10006.&spm=smpc.channel_217.block3_52_SOkSZm_1_fd.2.1728083610749trMaBjr_397
image_2_1.jpg,,OriginalYoung people trapped in the system,https://www.sohu.com/a/810035791_120005162?scm=10001.248_14-200000.0.10006.&spm=smpc.channel_217.block3_52_SOkSZm_1_fd.3.1728083610749trMaBjr_397
image_2_2.jpg,,OriginalYoung people trapped in the system,https://www.sohu.com/a/810035791_120005162?scm=10001.248_14-200000.0.10006.&spm=smpc.channel_217.block3_52_SOkSZm_1_fd.3.1728083610749trMaBjr_397
image_3_1.jpg,,OriginalZhuge Liang was a village man? Is the Romance of the Three Kingdoms true? Can you imagine his true identity?,https://www.sohu.com/a/813745157_121142023?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.1.1728083610749trMaBjr_397
image_3_2.jpg,,OriginalZhuge Liang was a village man? Is the Romance of the Three Kingdoms true? Can you imagine his true identity?,https://www.sohu.com/a/813745157_121142023?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.1.1728083610749trMaBjr_397
image_3_3.jpg,,OriginalZhuge Liang was a village man? Is the Romance of the Three Kingdoms true? Can you imagine his true identity?,https://www.sohu.com/a/813745157_121142023?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.1.1728083610749trMaBjr_397
image_4_1.jpg,,Kites flowers fireworks show Nanning Garden Expo Park 2024 National Day series of activities are wonderful,https://www.sohu.com/a/813878479_123753?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.2.1728083610749trMaBjr_397
image_4_2.jpg,,Kites flowers fireworks show Nanning Garden Expo Park 2024 National Day series of activities are wonderful,https://www.sohu.com/a/813878479_123753?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.2.1728083610749trMaBjr_397
image_5_1.jpg,,Me and my motherland! Sound “Read” block →,https://www.sohu.com/a/813866870_120044982?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.3.1728083610749trMaBjr_397
image_5_2.jpg,,Me and my motherland! Sound “Read” block →,https://www.sohu.com/a/813866870_120044982?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.3.1728083610749trMaBjr_397
image_5_3.jpg,,Me and my motherland! Sound “Read” block →,https://www.sohu.com/a/813866870_120044982?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.3.1728083610749trMaBjr_397
image_6_1.jpg,,Liang Xiuwei-First-Class Calligrapher,https://www.sohu.com/a/813889999_121861894?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.4.1728083610749trMaBjr_397
image_6_2.jpg,,Liang Xiuwei-First-Class Calligrapher,https://www.sohu.com/a/813889999_121861894?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.4.1728083610749trMaBjr_397
image_7_1.jpg,,He is very frugal with words and his few strokes leave a lasting aftertaste,https://www.sohu.com/a/813932235_121124642?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.7.1728083610749trMaBjr_397
image_7_2.jpg,,He is very frugal with words and his few strokes leave a lasting aftertaste,https://www.sohu.com/a/813932235_121124642?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.7.1728083610749trMaBjr_397
image_7_3.jpg,,He is very frugal with words and his few strokes leave a lasting aftertaste,https://www.sohu.com/a/813932235_121124642?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.7.1728083610749trMaBjr_397
image_8_1.jpg,,OriginalQi Baishi painted tigers without drawing faces but why did it sell for 28 million yuan? Expert: Zoom in and take a look,https://www.sohu.com/a/813741867_121629421?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.8.1728083610749trMaBjr_397
image_8_2.jpg,,OriginalQi Baishi painted tigers without drawing faces but why did it sell for 28 million yuan? Expert: Zoom in and take a look,https://www.sohu.com/a/813741867_121629421?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.8.1728083610749trMaBjr_397
image_9_1.jpg,,OriginalQi Baishi painted a cow's butt but it was sold for 10 million yuan? Experts used a magnifying glass to find out the reason!,https://www.sohu.com/a/813742064_121629584?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.6.1728083610749trMaBjr_397
image_9_2.jpg,,OriginalQi Baishi painted a cow's butt but it was sold for 10 million yuan? Experts used a magnifying glass to find out the reason!,https://www.sohu.com/a/813742064_121629584?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.6.1728083610749trMaBjr_397
image_9_3.jpg,,OriginalQi Baishi painted a cow's butt but it was sold for 10 million yuan? Experts used a magnifying glass to find out the reason!,https://www.sohu.com/a/813742064_121629584?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.6.1728083610749trMaBjr_397
image_10_1.jpg,,OriginalXu Zhimo's eldest son Xu Jikai went against his grandfather's expectations after he became an adult and was deeply influenced by his mother,https://www.sohu.com/a/813843408_121721547?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.11.1728083610749trMaBjr_397
image_10_2.jpg,,OriginalXu Zhimo's eldest son Xu Jikai went against his grandfather's expectations after he became an adult and was deeply influenced by his mother,https://www.sohu.com/a/813843408_121721547?scm=10001.395_13-100000-0_922.0-0.10095.a2_5X162X1645&spm=smpc.channel_217.block3_77_O0F7zf_1_fd.11.1728083610749trMaBjr_397
