image number,alt,article_heading
image_1_1.jpg,A house in Jesenik Czech Republic was destroyed by the recent heavy floods. (Source: Petr David Josek/AP/dpa/dpa-bilder),"""Heaviest rain ever"": Researchers with gloomy forecast"
image_2_1.jpg,Flood damage in Baden-Württemberg (archive photo): Hundreds of thousands of Germans are threatened by flooding. (Source: Marijan Murat/dpa/dpa-bilder),Hundreds of thousands of Germans threatened by flooding
image_3_1.jpg,The current year threatens to be another record year for heat. (Archive image) (Source: Martin Gerten/dpa/dpa-bilder),Summer was hottest since records began
image_4_1.jpg,A building of the sunken village of Kallio. (Source: Thanassis Stavrakis/ap),Old village suddenly appears – this is what it looks like
image_5_1.jpg,Fiji in the South Pacific (symbolic image): Here the Central Pacific island republic of Kiribati has bought land. (Source: Rui Vale de Sousa/imago-images-bilder),To relocate residents: island state buys land
image_6_1.jpg,People in the South Korean capital Seoul are currently experiencing a historic series of tropical nights. (Source: Ahn Young-joon/AP/dpa-bilder),Capital experiences heat record
image_7_1.jpg,A woman with a fan on Mallorca (archive photo): 236 people have been killed by the heat on the Balearic Islands. (Source: Clara Margais/dpa/dpa),Holiday region: 236 people die from heat
image_8_1.jpg,A stressed woman (symbolic image): Many are worried about the state of nature. (Source: IMAGO/Jose Carlos Ichiro/imago),Most Germans are worried about this
image_9_1.jpg,"""In some parts of the bay there is no life at the moment our fish have died due to a lack of oxygen"" said Turkish Environment Minister Murat Kurum. (Archive photo) (Source: Bodo Marks/dpa/dpa-bilder)",Fish die off holiday resort: Minister speaks of catastrophe
image_10_1.jpg,Drought in Greece worries expertsThe drought threatens nature and people. (Source: Giannis Papanikos),Sunken village discovered
