image number,alt,article_heading
image_1_1.jpg,"""Stop LNG"": The activists rolled out a banner during their action. (Source: Ende Gelände)",Activists occupy LNG terminal – arrests
image_2_1.jpg,Federal Minister of Economics Robert Habeck (Greens archive photo): Heat pump entrepreneur Jan Ossenbrink praises the heating law but criticizes the federal government. (Source: Kay Nietfeld/dpa/dpa-bilder),"""It's a bureaucratic monster"""
image_3_1.jpg,A wind turbine after installation in the northwestern Chinese autonomous region of Xinjiang. (Source: Liu Zhenlu/XinHua/dpa/dpa-bilder),Wind power and solar energy are booming – in China
image_4_1.jpg,"China's energy policy (symbolic image): ""China had an influence on competitiveness."" (Source: imago/NurPhoto Xinhua Getty Images/xijian (Collage t-online)/imago-images-bilder)","""90 percent remain unused"""
image_5_1.jpg,,Energy consumption rises to record levels
image_6_1.jpg,,World’s largest cruise ship launches – expert alarmed
image_7_1.jpg,,This shows China’s double-edged nature
image_8_1.jpg,A woman warms her hands on a heater: Are gas supplies sufficient even in a harsh winter? (Source: SOPA Images/getty-images-bilder),Then the gas runs out in February
image_9_1.jpg,Netherlands: Activists block a cruise ship in Amsterdam. (Source: Screenshot X @NLRebellion ),Climate activists block holiday ships
image_10_1.jpg,Electricity generation from renewable energies has reached a record. (Source: Martin Schutt/dpa/dpa-bilder),Renewable energies with new record share
