image number,alt,article_heading,article_url
image_1_1.jpg,A class full of primary school children at their desks,"UK primary class sizes among biggest in industrialised world, report finds",https://www.theguardian.com/education/article/2024/sep/10/uk-primary-class-sizes-among-biggest-in-industrialised-world-report-finds
image_2_1.jpg,Technical facilities at Surrey aim to give students a taste of the workplace.,Ones to watch: three rising stars of this year’s university guide,https://www.theguardian.com/education/article/2024/sep/07/three-rising-stars-of-this-years-university-guide-surrey-bath-lancaster
image_2_2.jpg,"… Prof Max Lu, vice-chancellor at the University of Surrey.",Ones to watch: three rising stars of this year’s university guide,https://www.theguardian.com/education/article/2024/sep/07/three-rising-stars-of-this-years-university-guide-surrey-bath-lancaster
image_2_3.jpg,a graduation at the University of Bath.,Ones to watch: three rising stars of this year’s university guide,https://www.theguardian.com/education/article/2024/sep/07/three-rising-stars-of-this-years-university-guide-surrey-bath-lancaster
image_3_1.jpg,Anne Fine sits on the edge of a desk in a room lined with books on shelves,Anne Fine: children should be allowed to learn online instead of going to school,https://www.theguardian.com/education/article/2024/sep/07/anne-fine-children-should-allowed-learn-online-instead-school
image_4_1.jpg,A protester dressed as bishop in a night-time march,Religious groups ‘spending billions to counter gender-equality education’,https://www.theguardian.com/global-development/article/2024/sep/11/religious-groups-christians-islamists-catholic-billions-counter-gender-equality-sex-education-lgbtq-equal-rights
image_4_2.jpg,"Angry-looking young black men shouting and waving placards, the most prominent saying a 'walk for upholding family values' ",Religious groups ‘spending billions to counter gender-equality education’,https://www.theguardian.com/global-development/article/2024/sep/11/religious-groups-christians-islamists-catholic-billions-counter-gender-equality-sex-education-lgbtq-equal-rights
image_5_1.jpg,Student using a calculator in an exam,IGCSE maths preparation is easier than GCSE,https://www.theguardian.com/education/article/2024/sep/09/igcse-maths-preparation-is-easier-than-gcse
image_6_1.jpg,Maths club … know the ins and outs of how student loans work.,How to afford university: from loans and grants to part-time work,https://www.theguardian.com/education/article/2024/sep/08/how-to-afford-university-from-loans-and-grants-to-part-time-work
image_6_2.jpg,"Bar work can be a fun way to top up your earnings, make sure too many late hours don’t affect your studies.",How to afford university: from loans and grants to part-time work,https://www.theguardian.com/education/article/2024/sep/08/how-to-afford-university-from-loans-and-grants-to-part-time-work
image_7_1.jpg,children in school make notes,"Sex ed Paraguay-style: condoms are unsafe, silence on LGBTQ+ people",https://www.theguardian.com/world/article/2024/sep/10/paraguay-sex-education-curriculum
image_8_1.jpg,Moving in … living off campus allows you to explore new surroundings.,‘You’ll meet so many people’: how to choose where to live at uni,https://www.theguardian.com/education/article/2024/sep/10/how-to-choose-where-to-live-university-halls-flats
image_8_2.jpg,plug in to a bigger student community in uni halls or flats.,‘You’ll meet so many people’: how to choose where to live at uni,https://www.theguardian.com/education/article/2024/sep/10/how-to-choose-where-to-live-university-halls-flats
image_9_1.jpg,Uni Guide 2025 - Subject table,Guardian University Guide 2025: find your subject,https://www.theguardian.com/education/article/2024/sep/07/guardian-university-guide-2025-find-your-subject
image_10_1.jpg,"For many students, living at home offers extra support and financial stability.",I chose to live at home as a university student. Here’s why I’d recommend it,https://www.theguardian.com/education/article/2024/sep/09/i-chose-to-live-at-home-as-a-university-student-heres-why-id-recommend-it
image_10_2.jpg,Plugged in … Mahliqa Ali on her commute.,I chose to live at home as a university student. Here’s why I’d recommend it,https://www.theguardian.com/education/article/2024/sep/09/i-chose-to-live-at-home-as-a-university-student-heres-why-id-recommend-it
