image number,alt,article_heading,article_url
image_1_1.jpg,A freediver ascends alongside a rope surrounded by six safety divers,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath
image_1_2.jpg,A white man in a wetsuit standing in the sea adjusting his goggles,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath
image_1_3.jpg,A young white woman wearing a wetsuit and carrying fins walks through a doorway,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath
image_1_4.jpg,Several people in wetsuits under T-shirts at the water’s edge push floats out to sea,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath
image_1_5.jpg,A dozen or so divers on the surface and fish near a rock face are seen from about 30 metres below the surface as a diver pulls themselves down a rope,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath
image_1_6.jpg,A freediver in a burgundy wetsuit swims to the surface while holding on to a rope as two other divers accompany her and two photographers take pics,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath
image_1_7.jpg,Divers gather around a life ring on the surface of the water,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath
image_1_8.jpg,An unconscious diver in a black wetsuit is supported vertically in the water by two safety divers in white shirts next to a safety rope,Saving lives on a single breath: how ‘safeties’ like me allow freedivers to take part in high-stakes competitions,https://www.theguardian.com/environment/article/2024/sep/03/freediving-blue-hole-dahab-egypt-safety-divers-netflix-documentary-deepest-breath
image_2_1.jpg,A salmon with yellow and orange markings swims towards the camera with its mouth open.,‘Like doomsday’: why have salmon deserted Norway’s rivers – and will they ever return?,https://www.theguardian.com/environment/article/2024/aug/29/like-doomsday-why-have-salmon-deserted-norway-rivers-and-will-they-ever-return
image_2_2.jpg,A river flows through a pine forest with a mountainside and low cloud in the background.,‘Like doomsday’: why have salmon deserted Norway’s rivers – and will they ever return?,https://www.theguardian.com/environment/article/2024/aug/29/like-doomsday-why-have-salmon-deserted-norway-rivers-and-will-they-ever-return
image_2_3.jpg,A seated middle-aged man with chin-length silver hair  and glasses gestures with his hands,‘Like doomsday’: why have salmon deserted Norway’s rivers – and will they ever return?,https://www.theguardian.com/environment/article/2024/aug/29/like-doomsday-why-have-salmon-deserted-norway-rivers-and-will-they-ever-return
image_2_4.jpg,Red white and black warning signs which read ‘No admittance’ and ‘No fishing’ in Norwegian and English.,‘Like doomsday’: why have salmon deserted Norway’s rivers – and will they ever return?,https://www.theguardian.com/environment/article/2024/aug/29/like-doomsday-why-have-salmon-deserted-norway-rivers-and-will-they-ever-return
image_2_5.jpg,A blonde woman stands in front of a river looking concerned.,‘Like doomsday’: why have salmon deserted Norway’s rivers – and will they ever return?,https://www.theguardian.com/environment/article/2024/aug/29/like-doomsday-why-have-salmon-deserted-norway-rivers-and-will-they-ever-return
image_2_6.jpg,A man stands in front of a city marina.,‘Like doomsday’: why have salmon deserted Norway’s rivers – and will they ever return?,https://www.theguardian.com/environment/article/2024/aug/29/like-doomsday-why-have-salmon-deserted-norway-rivers-and-will-they-ever-return
image_2_7.jpg,A man with a fishing rod stands in waist-high water.,‘Like doomsday’: why have salmon deserted Norway’s rivers – and will they ever return?,https://www.theguardian.com/environment/article/2024/aug/29/like-doomsday-why-have-salmon-deserted-norway-rivers-and-will-they-ever-return
image_3_1.jpg,Dr Boze Hancock picks up an oyster from a tank,Half a million oysters to be introduced to Humber estuary in restoration plan,https://www.theguardian.com/environment/article/2024/sep/10/half-a-million-oysters-introduced-humber-estuary-restoration-plan
image_3_2.jpg,View looking out to sea from the Spurn peninsula,Half a million oysters to be introduced to Humber estuary in restoration plan,https://www.theguardian.com/environment/article/2024/sep/10/half-a-million-oysters-introduced-humber-estuary-restoration-plan
image_3_3.jpg,Laura Welton holds a cardboard box as a woman stands talking to her,Half a million oysters to be introduced to Humber estuary in restoration plan,https://www.theguardian.com/environment/article/2024/sep/10/half-a-million-oysters-introduced-humber-estuary-restoration-plan
image_4_1.jpg,The Marmolada glacier,"Italy’s Marmolada glacier could disappear by 2040, experts say",https://www.theguardian.com/environment/article/2024/sep/10/italys-marmolada-glacier-could-disappear-by-2040-experts-say
