image number,alt,article_heading,article_url
image_1_1.jpg,"Mother and son, tourists, cyclists on a gravel road passing beautiful wineyard above vipava valley on a beautiful spring sunny day, Slovenia2FNJ0RP Mother and son, tourists, cyclists on a gravel road passing beautiful wineyard above vipava valley on a beautiful spring sunny day, Slovenia",Stars in the east: the shining lights of eastern European wine,https://www.theguardian.com/food/article/2024/sep/06/stars-in-the-east-the-shining-lights-of-eastern-european-wine#comments
image_2_1.jpg,A bowl of Italian saffron risotto.,I didn’t eat proper risotto till I was nearly 30. And now drought may take it off menus for ever,https://www.theguardian.com/food/2024/mar/16/i-didnt-eat-proper-risotto-till-i-was-nearly-30-and-now-drought-may-take-it-off-menus-for-ever
image_3_1.jpg,Nipperkin at Nijū’s Menta,"The Menta, by Nipperkin at Nijū – recipe",https://www.theguardian.com/food/article/2024/aug/30/cocktail-of-the-week-the-menta-by-nipperkin-at-niju-recipe
image_4_1.jpg,As moreish as Marmite: Meera Sodha's miso mushrooms on toast.,Top that! What are the best things to put on toast?,https://www.theguardian.com/food/article/2024/sep/10/kitchen-aide-what-are-the-best-things-to-put-on-toast
image_5_1.jpg,"Butternut squash cooked in olive oil. Dish of baked Butternut squashes ready to eat. Dish of freshly roasted butternut squashes cooked until they are soft, with thyme, bay leaves and olive oil.",Ask Ottolenghi: should you cook with extra-virgin olive oil?,https://www.theguardian.com/food/article/2024/sep/07/ask-ottolenghi-should-you-cook-with-extra-virgin-olive-oil#comments
image_6_1.jpg,"Mother and son, tourists, cyclists on a gravel road passing beautiful wineyard above vipava valley on a beautiful spring sunny day, Slovenia2FNJ0RP Mother and son, tourists, cyclists on a gravel road passing beautiful wineyard above vipava valley on a beautiful spring sunny day, Slovenia",Shining examples of eastern European wine,https://www.theguardian.com/food/article/2024/sep/06/stars-in-the-east-the-shining-lights-of-eastern-european-wine
image_7_1.jpg,Georgina Hayden’s celeriac soup with almond pangrattato.,Georgina Hayden’s potato and celeriac soup with almond breadcrumb topping – recipe,https://www.theguardian.com/food/article/2024/sep/10/potato-and-celeriac-soup-with-almond-breadcrumb-topping-recipe-georgina-hayden
image_8_1.jpg,A bowl of Italian saffron risotto.,I didn’t eat proper risotto till I was nearly 30. And now drought may take it off menus for ever,https://www.theguardian.com/food/2024/mar/16/i-didnt-eat-proper-risotto-till-i-was-nearly-30-and-now-drought-may-take-it-off-menus-for-ever#comments
image_9_1.jpg,Rukmini Iyer’s wild mushroom orzotto.,"Rukmini Iyer’s quick and easy recipe for mushroom, spinach and hazelnut orzotto",https://www.theguardian.com/food/article/2024/sep/09/quick-and-easy-mushroom-spinach-and-hazelnut-orzotto-recipe-rukmini-iyer#comments
image_10_1.jpg,"Ibai, London: inside, it’s ‘a brooding, gothically dramatic jewel’. ","Ibai, London EC1: ‘A swanky restaurant that lacks any pomposity’ – restaurant review",https://www.theguardian.com/food/article/2024/aug/30/ibai-london-ec1-grace-dent-restaurant-review#comments
image_10_2.jpg,"‘Buttery, truffley’ tender sweetcorn with black truffle, at Ibai, London.","Ibai, London EC1: ‘A swanky restaurant that lacks any pomposity’ – restaurant review",https://www.theguardian.com/food/article/2024/aug/30/ibai-london-ec1-grace-dent-restaurant-review#comments
image_10_3.jpg,"‘The octopus is a smoky, rich spin on a marmitako mated with pipérade.’ At Ibai. London.","Ibai, London EC1: ‘A swanky restaurant that lacks any pomposity’ – restaurant review",https://www.theguardian.com/food/article/2024/aug/30/ibai-london-ec1-grace-dent-restaurant-review#comments
image_10_4.jpg,"The ‘vivid’ beef tartare with smoked Espelette pepper, at Ibai, London.","Ibai, London EC1: ‘A swanky restaurant that lacks any pomposity’ – restaurant review",https://www.theguardian.com/food/article/2024/aug/30/ibai-london-ec1-grace-dent-restaurant-review#comments
