image number,alt,article_heading,article_url
image_1_1.jpg,"A hiker takes in the view in the Llangattock escarpment quarries looking towards Crickhowell, Wales.","‘I inched across rock faces, explored sea caves and plummeted off cliffs’: readers’ favourite active holidays in Europe",https://www.theguardian.com/travel/article/2024/aug/23/10-best-readers-favourite-active-holidays-in-europe#comments
image_1_2.jpg,"People jump off the former quarry building at the Abereiddy blue lagoon as part of a coasteering experience, in Pembrokeshire, Wales.","‘I inched across rock faces, explored sea caves and plummeted off cliffs’: readers’ favourite active holidays in Europe",https://www.theguardian.com/travel/article/2024/aug/23/10-best-readers-favourite-active-holidays-in-europe#comments
image_1_3.jpg,"A family canoe on a lake near Bengtsfors, Dalsland, Sweden.","‘I inched across rock faces, explored sea caves and plummeted off cliffs’: readers’ favourite active holidays in Europe",https://www.theguardian.com/travel/article/2024/aug/23/10-best-readers-favourite-active-holidays-in-europe#comments
image_1_4.jpg,"The Blue Pool in Glen Rosa, Arran.","‘I inched across rock faces, explored sea caves and plummeted off cliffs’: readers’ favourite active holidays in Europe",https://www.theguardian.com/travel/article/2024/aug/23/10-best-readers-favourite-active-holidays-in-europe#comments
image_1_5.jpg,"A performance by Italian singer Francesco de Gregori during the I Suoni delle Dolomiti, a series of open-air concerts in the Trentino mountains.","‘I inched across rock faces, explored sea caves and plummeted off cliffs’: readers’ favourite active holidays in Europe",https://www.theguardian.com/travel/article/2024/aug/23/10-best-readers-favourite-active-holidays-in-europe#comments
image_1_6.jpg,"Divers snorkeling on coral table, holding a purple starfish on Ustica Island, Sicily, Italy.","‘I inched across rock faces, explored sea caves and plummeted off cliffs’: readers’ favourite active holidays in Europe",https://www.theguardian.com/travel/article/2024/aug/23/10-best-readers-favourite-active-holidays-in-europe#comments
image_1_7.jpg,"A sea cave near the Bay of Laig at Cleadale on the Isle of Eigg, looking towards the Isle of Rum, Scotland.","‘I inched across rock faces, explored sea caves and plummeted off cliffs’: readers’ favourite active holidays in Europe",https://www.theguardian.com/travel/article/2024/aug/23/10-best-readers-favourite-active-holidays-in-europe#comments
image_1_8.jpg,"A loggerhead sea turtle emerges above water for a gulp of air on Cephalonia, Greece.","‘I inched across rock faces, explored sea caves and plummeted off cliffs’: readers’ favourite active holidays in Europe",https://www.theguardian.com/travel/article/2024/aug/23/10-best-readers-favourite-active-holidays-in-europe#comments
image_1_9.jpg,Tourists watch the stunning sunrise at Pico do Areeiro as the clouds surround part of the island of Madeira.,"‘I inched across rock faces, explored sea caves and plummeted off cliffs’: readers’ favourite active holidays in Europe",https://www.theguardian.com/travel/article/2024/aug/23/10-best-readers-favourite-active-holidays-in-europe#comments
image_1_10.jpg,"Sierra de Aracena, Huelva, Andalucía, Spain.","‘I inched across rock faces, explored sea caves and plummeted off cliffs’: readers’ favourite active holidays in Europe",https://www.theguardian.com/travel/article/2024/aug/23/10-best-readers-favourite-active-holidays-in-europe#comments
image_2_1.jpg,A seafront restaurant in Göcek.,Why Göcek makes the perfect Lycian base,https://www.theguardian.com/travel/article/2024/sep/08/gocek-turkey-at-sun-kissed-laid-back-best-lycian-coast
image_2_2.jpg,Map of Turkey showing Bodrum and Göcek,Why Göcek makes the perfect Lycian base,https://www.theguardian.com/travel/article/2024/sep/08/gocek-turkey-at-sun-kissed-laid-back-best-lycian-coast
image_2_3.jpg,Iztuzu beach near Dalyan.,Why Göcek makes the perfect Lycian base,https://www.theguardian.com/travel/article/2024/sep/08/gocek-turkey-at-sun-kissed-laid-back-best-lycian-coast
image_2_4.jpg,Göcek.,Why Göcek makes the perfect Lycian base,https://www.theguardian.com/travel/article/2024/sep/08/gocek-turkey-at-sun-kissed-laid-back-best-lycian-coast
image_2_5.jpg,Lycian rock tombs at Dalyan.,Why Göcek makes the perfect Lycian base,https://www.theguardian.com/travel/article/2024/sep/08/gocek-turkey-at-sun-kissed-laid-back-best-lycian-coast
image_4_1.jpg,Peak Sightseer open top bus by stone cottages,How I ‘bussed’ the myth that Derby is the UK’s worst short break destination,https://www.theguardian.com/travel/article/2024/aug/28/derby-uk-short-break-destination-buses
image_4_2.jpg,The driver tells me to take the Blue route tomorrow – ‘worth it for the view from Winnats Pass alone’,How I ‘bussed’ the myth that Derby is the UK’s worst short break destination,https://www.theguardian.com/travel/article/2024/aug/28/derby-uk-short-break-destination-buses
image_4_3.jpg,Small waterfalls and woodland in Padley Gorge.,How I ‘bussed’ the myth that Derby is the UK’s worst short break destination,https://www.theguardian.com/travel/article/2024/aug/28/derby-uk-short-break-destination-buses
image_4_4.jpg,"Museum of Making, Derby",How I ‘bussed’ the myth that Derby is the UK’s worst short break destination,https://www.theguardian.com/travel/article/2024/aug/28/derby-uk-short-break-destination-buses
image_5_1.jpg,A walker on one of the few cabled sections of the GR54 route in the Écrins national park. All photographs by David Lintern,‘The hike of a lifetime’ – a circuit of the Écrins national park,https://www.theguardian.com/travel/article/2024/sep/11/the-hike-of-a-lifetime-a-circuit-of-the-ecrins-national-park-in-france
