1,Tech expert says hidden iPhone setting doubles battery life,Mysterious object that appears in religious art that show Jesus really was magic
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_11.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_21.jpg
,A tech expert advised users activate the reduce white point feature on their iPhone to 'double' their battery life,A carving is displayed on the door of the Santa Sabina Church in Rome showing Jesus using a wand to raise Lazarus from the dead and turning water into wine. The carving was created on a wooden door in 432 AD which is displayed in the Santa Sabina Church in Rome
2,Tech expert says hidden iPhone setting doubles battery life,Mysterious object that appears in religious art that show Jesus really was magic
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_11.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_22.jpg
,A tech expert advised users activate the reduce white point feature on their iPhone to 'double' their battery life,In one painting Jesus holds a wand over the cadaver of Lazarus before he performs the miracle of raising him from the dead. This image was painted in the fourth century although the exact date is unknown and was found at the Catacomb of Via Latina in Rome
3,Tech expert says hidden iPhone setting doubles battery life,Mysterious object that appears in religious art that show Jesus really was magic
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_11.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_23.jpg
,A tech expert advised users activate the reduce white point feature on their iPhone to 'double' their battery life,Ancient paintings of Jesus holding what appears to be a wand has led some researchers to believe early Christians thought of him as a magician. This image was painted in the fourth century although the exact date is unknown and was found at the Via Anapo catacomb in Rome
4,Tech expert says hidden iPhone setting doubles battery life,Social security is DOWN: Online and in-person services hit by nationwide outage
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_11.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg
,A tech expert advised users activate the reduce white point feature on their iPhone to 'double' their battery life,The SSA pays $1.4 trillion in benefits to more than 71 million people every year
5,Tech expert says hidden iPhone setting doubles battery life,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario
